state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,poverty_total,poverty_percent,per_point_diff,college_educated_percent
Alabama,AL,Franklin County,31802.0,12077.0,0.3797559901892963,3300.0,11593.0,67215.0,51493.0,7666.0,79379.0,66038.0,5476.0,17.219042827495127,73.27,10.376705867555499
Alabama,AL,Geneva County,26988.0,12390.0,0.45909293019119607,2598.0,10550.0,66098.0,50951.0,7091.0,77532.0,63658.0,5035.0,18.656439899214465,76.98,9.626500666963095
Alabama,AL,Greene County,7341.0,4035.0,0.5496526358806703,771.0,3037.0,48047.0,31495.0,1695.0,63490.0,43606.0,2697.0,36.73886391499796,-55.71,10.502656313853699
Alabama,AL,Hale County,14888.0,7290.0,0.4896560988715744,1678.0,5541.0,61740.0,41325.0,3050.0,81023.0,71159.0,3454.0,23.19989253089737,-6.84,11.270822138635141
Alabama,AL,Henry County,17899.0,9301.0,0.5196379686015978,2831.0,6684.0,78795.0,60135.0,4467.0,98725.0,79127.0,2695.0,15.056707078607742,50.81,15.816526062908542
Alabama,AL,Houston County,108462.0,44195.0,0.4074698972912172,17350.0,42581.0,80048.0,57531.0,27734.0,97161.0,73929.0,19198.0,17.700208367907656,47.78,15.996385830982279
Alabama,AL,Jackson County,53467.0,23509.0,0.43969177249518393,6019.0,21186.0,67768.0,49454.0,14103.0,81012.0,63025.0,8758.0,16.38019713094058,71.45,11.25741111339705
Alabama,AL,Jefferson County,662895.0,296741.0,0.4476440461913274,171948.0,268911.0,97165.0,64589.0,163540.0,121396.0,85260.0,106524.0,16.069513271332564,-10.44,25.938949607403888
Alabama,AL,Lamar County,13661.0,6875.0,0.5032574482102335,1163.0,4987.0,60489.0,47447.0,3430.0,72201.0,60000.0,2061.0,15.0867432838006,76.03,8.51328599663275
Alabama,AL,Lauderdale County,96814.0,43454.0,0.44884004379531883,18548.0,38777.0,78675.0,59082.0,24684.0,98159.0,79112.0,12584.0,12.998120106596152,51.51,19.15838618381639
Alabama,AL,Lawrence County,33502.0,16115.0,0.4810160587427616,3781.0,13145.0,76640.0,60040.0,8971.0,90808.0,77233.0,4506.0,13.449943286967942,62.31,11.285893379499731
Alabama,AL,Lee County,183215.0,72695.0,0.3967742815817482,48830.0,67944.0,86713.0,61123.0,40471.0,113908.0,88725.0,32119.0,17.530769860546354,27.82,26.651747946401766
Alabama,AL,Limestone County,114654.0,53096.0,0.4630976677656253,23591.0,40021.0,105108.0,83534.0,28387.0,121817.0,101284.0,10561.0,9.211191933992708,43.89,20.575819421912886
Alabama,AL,Lowndes County,9717.0,5652.0,0.5816610064834825,1043.0,4161.0,58417.0,35160.0,2535.0,71632.0,50041.0,2913.0,29.97838839147885,-37.31,10.733765565503758
Alabama,AL,Macon County,18370.0,7820.0,0.4256940664126293,2553.0,7151.0,61698.0,45951.0,4166.0,76000.0,54493.0,3611.0,19.65704953728906,-56.29,13.897659227000544
Alabama,AL,Madison County,412600.0,196355.0,0.47589675230247214,130553.0,162469.0,111962.0,83528.0,103112.0,136560.0,107322.0,40401.0,9.791808046534173,8.97,31.641541444498305
Alabama,AL,Marengo County,18684.0,9673.0,0.5177156925711839,2737.0,7615.0,67077.0,44205.0,4577.0,91592.0,72769.0,4241.0,22.69856561764076,3.76,14.648897452365661
Alabama,AL,Marion County,29244.0,13523.0,0.4624196416358911,2830.0,10874.0,66253.0,50714.0,6956.0,79755.0,66826.0,4809.0,16.44439885104637,81.7,9.677198741622213
Alabama,AL,Marshall County,100756.0,40277.0,0.3997479058319108,14279.0,35963.0,82099.0,60946.0,25353.0,95117.0,76314.0,15841.0,15.722140616935965,71.71,14.171860732859582
Alabama,AL,Mobile County,411640.0,174545.0,0.4240234185210378,73119.0,160507.0,79051.0,58119.0,101014.0,95784.0,74098.0,65948.0,16.020794869303277,16.45,17.76285103488485
Alabama,AL,Monroe County,19229.0,9799.0,0.509594882729211,1571.0,7396.0,57308.0,40225.0,4469.0,73515.0,60895.0,4371.0,22.73129127879765,23.14,8.16995163555047
Alabama,AL,Montgomery County,224980.0,89375.0,0.3972575340030225,53493.0,90785.0,80704.0,58153.0,54461.0,98519.0,72355.0,41981.0,18.659880878300296,-30.73,23.77678015823629
Alabama,AL,Morgan County,125133.0,53369.0,0.4264982059089129,20341.0,48752.0,86044.0,64858.0,32269.0,101807.0,82280.0,16441.0,13.1388202952059,52.57,16.255504143591217
Alabama,AL,Perry County,7738.0,4457.0,0.5759886275523391,886.0,3195.0,42730.0,34368.0,2090.0,48652.0,37930.0,2296.0,29.67174980615146,-42.74,11.449987076764021
Alabama,AL,Pickens County,18688.0,8898.0,0.4761344178082192,2006.0,6946.0,66646.0,47014.0,4306.0,78903.0,61582.0,3878.0,20.75128424657534,23.34,10.73416095890411
Alabama,AL,Pike County,33137.0,13214.0,0.3987687479252799,5806.0,12605.0,69002.0,47961.0,7002.0,94424.0,71889.0,7130.0,21.51673356067236,25.16,17.521199867217913
Alabama,AL,Randolph County,22786.0,11075.0,0.4860440621434214,3275.0,9127.0,70749.0,51551.0,5987.0,85419.0,68045.0,3983.0,17.480031598349864,64.85,14.372860528394629
Alabama,AL,Russell County,58744.0,20679.0,0.3520189295928095,7164.0,23784.0,65547.0,50046.0,14841.0,76418.0,61896.0,12966.0,22.072041399972765,-1.66,12.195288029415769
Alabama,AL,Shelby County,233000.0,114043.0,0.4894549356223176,74884.0,85414.0,123911.0,93543.0,61717.0,145408.0,115789.0,15442.0,6.627467811158798,40.84,32.13905579399142
Alabama,AL,St. Clair County,95552.0,43440.0,0.4546215673141326,13644.0,34477.0,92258.0,78993.0,25029.0,103303.0,91091.0,10129.0,10.60051071667783,64.14,14.279135967849966
Alabama,AL,Sumter County,11727.0,5297.0,0.4516926750234502,1406.0,4765.0,50405.0,37981.0,3091.0,59096.0,47521.0,2801.0,23.88505159034706,-41.21,11.989426110684745
Alabama,AL,Talladega County,81132.0,33175.0,0.4089015431642262,10027.0,32889.0,72746.0,56249.0,22294.0,85268.0,68513.0,13665.0,16.842922644579204,33.77,12.35887196174136
Alabama,AL,Tallapoosa County,40677.0,19980.0,0.49118666568331,5761.0,16548.0,75764.0,57185.0,10974.0,89573.0,70461.0,6128.0,15.065024460997614,49.59,14.162794699707451
Alabama,AL,Tuscaloosa County,237373.0,84879.0,0.35757647247159535,49295.0,87289.0,85068.0,63947.0,54049.0,105937.0,86287.0,36620.0,15.427196858951945,20.41,20.76689429716101
Alabama,AL,Walker County,64728.0,29747.0,0.45956927450253365,7460.0,24843.0,69909.0,54509.0,16689.0,84604.0,72089.0,11429.0,17.656964528488444,71.81,11.525151402793227
Alabama,AL,Washington County,15022.0,8430.0,0.5611769404872853,1841.0,5678.0,80526.0,60503.0,4251.0,95288.0,84911.0,2793.0,18.59273066169618,55.41,12.255358807082944
Alabama,AL,Wilcox County,9944.0,5260.0,0.5289621882542237,868.0,3693.0,56527.0,42236.0,2255.0,66361.0,54517.0,2943.0,29.595736122284794,-31.48,8.728881737731294
Alabama,AL,Winston County,23611.0,11129.0,0.4713481004616492,2335.0,9328.0,66939.0,48032.0,6492.0,79311.0,64579.0,4506.0,19.084325102706366,83.63,9.88945830333319
Alaska,AK,All,733406.0,338177.0,0.46110476325527744,155933.0,267865.0,114947.0,89336.0,171553.0,133487.0,108134.0,72978.0,9.95055944456413,13.14,21.261484089303877
Arizona,AZ,Apache County,65036.0,32019.0,0.49232732640383786,6615.0,20439.0,57306.0,40338.0,13650.0,66164.0,49277.0,20070.0,30.85983147795067,-18.98,10.171289747216926
Arizona,AZ,Cochise County,124640.0,58923.0,0.47274550706033375,24873.0,50476.0,77541.0,58970.0,31131.0,93043.0,75734.0,18544.0,14.878048780487804,23.15,19.955872913992298
Arizona,AZ,Coconino County,144472.0,70067.0,0.4849867102275873,36848.0,53642.0,95848.0,69748.0,31436.0,117517.0,88944.0,23485.0,16.255745057865884,-19.88,25.5052882219392
Arizona,AZ,Gila County,54003.0,27648.0,0.5119715571357146,7825.0,23253.0,75671.0,59089.0,14580.0,88556.0,70477.0,9297.0,17.215710238320092,37.6,14.4899357443105
Arizona,AZ,Graham County,39525.0,15183.0,0.38413662239089186,3861.0,12460.0,80094.0,67326.0,9065.0,89118.0,75087.0,6319.0,15.987349778621127,48.15,9.768500948766604
Arizona,AZ,Greenlee County,9369.0,3308.0,0.35307930408794963,1231.0,3444.0,84558.0,75239.0,2176.0,98992.0,81818.0,1016.0,10.844273668481161,40.93,13.139075675098729
Arizona,AZ,La Paz County,16710.0,7624.0,0.45625374027528426,1846.0,8887.0,68092.0,49506.0,5423.0,80280.0,61713.0,3001.0,17.959305804907242,44.19,11.047277079593059
Arizona,AZ,Maricopa County,4585871.0,2053945.0,0.44788547257434846,1146516.0,1697342.0,115162.0,85518.0,1105438.0,131844.0,100929.0,497877.0,10.856759817273534,3.48,25.001052144728884
Arizona,AZ,Mohave County,223682.0,110450.0,0.49378135030981485,25956.0,96899.0,76121.0,55799.0,59924.0,88268.0,67820.0,35787.0,15.99905222592788,55.77,11.60397349809104
Arizona,AZ,Navajo County,109175.0,50706.0,0.4644469887794825,13148.0,39171.0,67131.0,52752.0,27603.0,77126.0,62061.0,25979.0,23.795740783146325,17.21,12.0430501488436
Arizona,AZ,Pima County,1063162.0,513176.0,0.4826884331832778,271507.0,430965.0,92561.0,67929.0,257825.0,111669.0,87639.0,146560.0,13.785293304312985,-15.16,25.537688517836415
Arizona,AZ,Pinal County,484239.0,209552.0,0.432744987495844,72312.0,157193.0,97007.0,77588.0,113297.0,105405.0,86967.0,46664.0,9.636563762935245,22.08,14.933121867507573
Arizona,AZ,Santa Cruz County,49158.0,19121.0,0.38897025916432726,7799.0,16816.0,70629.0,53614.0,12095.0,78746.0,61151.0,9707.0,19.74653159200944,-18.65,15.865169453598602
Arizona,AZ,Yavapai County,249081.0,149402.0,0.5998129122654879,56593.0,108900.0,88175.0,66106.0,67035.0,105024.0,82717.0,29898.0,12.003324219832102,33.89,22.7207213717626
Arizona,AZ,Yuma County,213221.0,68195.0,0.3198324742872419,23556.0,76903.0,77603.0,60417.0,54813.0,83867.0,67312.0,32921.0,15.439848795381316,20.41,11.047692300476971
Arkansas,AR,Arkansas County,16307.0,5547.0,0.34016066719813576,1832.0,6587.0,73981.0,60831.0,4253.0,89412.0,72510.0,2425.0,14.87091433126878,44.13,11.234439197890476
Arkansas,AR,Ashley County,18262.0,7030.0,0.3849523600919943,1662.0,7199.0,60457.0,44481.0,4385.0,75294.0,60285.0,4215.0,23.08071405103494,47.95,9.100865184536195
Arkansas,AR,Baxter County,42875.0,20954.0,0.48872303206997086,6074.0,19289.0,68034.0,48427.0,11969.0,82505.0,61627.0,6029.0,14.061807580174927,56.85,14.166763848396503
Arkansas,AR,Benton County,311013.0,128595.0,0.41347146260767237,74335.0,107667.0,121779.0,89879.0,78896.0,137313.0,103182.0,22138.0,7.11803043602679,26.97,23.900930186198003
Arkansas,AR,Boone County,38530.0,17112.0,0.4441214637944459,4472.0,15232.0,70513.0,54195.0,10009.0,86424.0,69420.0,5018.0,13.023617960031144,64.95,11.606540358162471
Arkansas,AR,Bradley County,10104.0,3209.0,0.317596991290578,1197.0,3600.0,62232.0,39565.0,2180.0,75156.0,62877.0,2057.0,20.35827395091053,39.02,11.846793349168646
Arkansas,AR,Calhoun County,4641.0,2092.0,0.45076492135315666,637.0,1584.0,73162.0,63654.0,1136.0,83146.0,72955.0,601.0,12.949795302736481,61.9,13.725490196078432
Arkansas,AR,Carroll County,28814.0,11538.0,0.4004303463594086,4448.0,11106.0,72185.0,55187.0,7501.0,88362.0,73830.0,4586.0,15.91587422780593,31.7,15.43694037620601
Arkansas,AR,Chicot County,9538.0,3490.0,0.3659048018452506,1219.0,3919.0,59697.0,39683.0,2415.0,75584.0,55571.0,2264.0,23.73663241769763,-3.95,12.78045711889285
Arkansas,AR,Clark County,21274.0,7657.0,0.3599229105950926,3445.0,8147.0,67510.0,50985.0,4894.0,85664.0,67546.0,3810.0,17.90918492056031,20.46,16.193475604023693
Arkansas,AR,Clay County,14201.0,4967.0,0.34976410111963946,1667.0,6116.0,63441.0,48500.0,3979.0,75516.0,57397.0,2449.0,17.245264417998733,61.63,11.738609957045279
Arkansas,AR,Cleburne County,25445.0,12739.0,0.5006484574572607,3418.0,10458.0,74855.0,55979.0,6784.0,84094.0,68688.0,3415.0,13.421104342699941,67.93,13.4328944782865
Arkansas,AR,Cleveland County,7378.0,3374.0,0.4573055028462998,873.0,2793.0,69803.0,50509.0,1960.0,85000.0,69610.0,1153.0,15.627541339116291,67.58,11.832474925454052
Arkansas,AR,Columbia County,22150.0,7940.0,0.35846501128668173,3303.0,8361.0,66389.0,47363.0,5370.0,82268.0,64147.0,4642.0,20.95711060948081,36.54,14.91196388261851
Arkansas,AR,Conway County,21077.0,8541.0,0.4052284480713574,2754.0,8303.0,69207.0,51212.0,5673.0,81685.0,61699.0,4261.0,20.216349575366515,40.32,13.066375670161786
