state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,state_code
Alaska,2009,State House District 9,5581,5849,11430,-268,48.83,51.17,-2.34,AK
Alaska,2010,State House District 10,4357,4070,8427,287,51.7,48.3,3.41,AK
Alaska,2011,State House District 11,4864,4633,9497,231,51.22,48.78,2.43,AK
Alaska,2012,State House District 12,4059,4169,8228,-110,49.33,50.67,-1.34,AK
Alaska,2013,State House District 13,3589,3682,7271,-93,49.36,50.64,-1.28,AK
Alaska,2014,State House District 14,2768,4346,7114,-1578,38.91,61.09,-22.18,AK
Alaska,2015,State House District 15,4594,4364,8958,230,51.28,48.72,2.57,AK
Alaska,2016,State House District 16,3929,5344,9273,-1415,42.37,57.63,-15.26,AK
Alaska,2017,State House District 17,2407,4990,7397,-2583,32.54,67.46,-34.92,AK
Alaska,2018,State House District 18,2686,1928,4614,758,58.21,41.79,16.43,AK
Alaska,2019,State House District 19,1971,2825,4796,-854,41.1,58.9,-17.81,AK
Alaska,2020,State House District 20,3041,3924,6965,-883,43.66,56.34,-12.68,AK
Alaska,2021,State House District 21,3984,4711,8695,-727,45.82,54.18,-8.36,AK
Alaska,2022,State House District 22,2594,2660,5254,-66,49.37,50.63,-1.26,AK
Alaska,2023,State House District 23,6101,4116,10217,1985,59.71,40.29,19.43,AK
Alaska,2024,State House District 24,6482,3234,9716,3248,66.71,33.29,33.43,AK
Alaska,2025,State House District 25,6891,3172,10063,3719,68.48,31.52,36.96,AK
Alaska,2026,State House District 26,7143,2013,9156,5130,78.01,21.99,56.03,AK
Alaska,2027,State House District 27,6785,1807,8592,4978,78.97,21.03,57.94,AK
Alaska,2028,State House District 28,6713,2213,8926,4500,75.21,24.79,50.41,AK
Alaska,2029,State House District 29,7418,2708,10126,4710,73.26,26.74,46.51,AK
Alaska,2030,State House District 30,7312,2701,10013,4611,73.03,26.97,46.05,AK
Alaska,2031,State House District 31,3475,3240,6715,235,51.75,48.25,3.5,AK
Alaska,2032,State House District 32,3742,1883,5625,1859,66.52,33.48,33.05,AK
Alaska,2033,State House District 33,6548,2016,8564,4532,76.46,23.54,52.92,AK
Alaska,2034,State House District 34,5836,3759,9595,2077,60.82,39.18,21.65,AK
Alaska,2035,State House District 35,4395,4885,9280,-490,47.36,52.64,-5.28,AK
Alaska,2036,State House District 36,5633,3538,9171,2095,61.42,38.58,22.84,AK
Alaska,2037,State House District 37,2208,1921,4129,287,53.48,46.52,6.95,AK
Alaska,2038,State House District 38,1558,2028,3586,-470,43.45,56.55,-13.11,AK
Alaska,2039,State House District 39,1690,2180,3870,-490,43.67,56.33,-12.66,AK
Alaska,2040,State House District 40,1688,1362,3050,326,55.34,44.66,10.69,AK
Alaska,2040,All,184458,140026,338177,44432,54.54,41.41,13.14,AK
Arizona,4001,Apache County,12795,18872,32019,-6077,39.96,58.94,-18.98,AZ
Arizona,4003,Cochise County,35936,22296,58923,13640,60.99,37.84,23.15,AZ
Arizona,4005,Coconino County,27576,41504,70067,-13928,39.36,59.23,-19.88,AZ
Arizona,4007,Gila County,18901,8504,27648,10397,68.36,30.76,37.6,AZ
Arizona,4009,Graham County,11177,3867,15183,7310,73.62,25.47,48.15,AZ
Arizona,4011,Greenlee County,2308,954,3308,1354,69.77,28.84,40.93,AZ
Arizona,4012,La Paz County,5470,2101,7624,3369,71.75,27.56,44.19,AZ
Arizona,4013,Maricopa County,1051531,980016,2053945,71515,51.2,47.71,3.48,AZ
Arizona,4015,Mohave County,85683,24081,110450,61602,77.58,21.8,55.77,AZ
Arizona,4017,Navajo County,29480,20754,50706,8726,58.14,40.93,17.21,AZ
Arizona,4019,Pima County,214669,292450,513176,-77781,41.83,56.99,-15.16,AZ
Arizona,4021,Pinal County,126926,80656,209552,46270,60.57,38.49,22.08,AZ
Arizona,4023,Santa Cruz County,7699,11265,19121,-3566,40.26,58.91,-18.65,AZ
Arizona,4025,Yavapai County,99346,48717,149402,50629,66.5,32.61,33.89,AZ
Arizona,4027,Yuma County,40745,26823,68195,13922,59.75,39.33,20.41,AZ
Arkansas,5001,Arkansas County,3951,1503,5547,2448,71.23,27.1,44.13,AR
Arkansas,5003,Ashley County,5145,1774,7030,3371,73.19,25.23,47.95,AR
Arkansas,5005,Baxter County,16253,4341,20954,11912,77.57,20.72,56.85,AR
Arkansas,5007,Benton County,79907,45231,128595,34676,62.14,35.17,26.97,AR
Arkansas,5009,Boone County,13968,2854,17112,11114,81.63,16.68,64.95,AR
Arkansas,5011,Bradley County,2213,961,3209,1252,68.96,29.95,39.02,AR
Arkansas,5013,Calhoun County,1674,379,2092,1295,80.02,18.12,61.9,AR
Arkansas,5015,Carroll County,7470,3812,11538,3658,64.74,33.04,31.7,AR
Arkansas,5017,Chicot County,1658,1796,3490,-138,47.51,51.46,-3.95,AR
Arkansas,5019,Clark County,4526,2959,7657,1567,59.11,38.64,20.46,AR
Arkansas,5021,Clay County,3968,907,4967,3061,79.89,18.26,61.63,AR
Arkansas,5023,Cleburne County,10595,1941,12739,8654,83.17,15.24,67.93,AR
Arkansas,5025,Cleveland County,2804,524,3374,2280,83.11,15.53,67.58,AR
Arkansas,5027,Columbia County,5367,2466,7940,2901,67.59,31.06,36.54,AR
Arkansas,5029,Conway County,5893,2449,8541,3444,69.0,28.67,40.32,AR
Arkansas,5031,Craighead County,25152,11210,37242,13942,67.54,30.1,37.44,AR
Arkansas,5033,Crawford County,18615,4753,23834,13862,78.1,19.94,58.16,AR
Arkansas,5035,Crittenden County,7028,7362,14681,-334,47.87,50.15,-2.28,AR
Arkansas,5037,Cross County,4753,1642,6534,3111,72.74,25.13,47.61,AR
Arkansas,5039,Dallas County,1482,798,2324,684,63.77,34.34,29.43,AR
Arkansas,5041,Desha County,1805,1638,3505,167,51.5,46.73,4.76,AR
Arkansas,5043,Drew County,4203,2050,6365,2153,66.03,32.21,33.83,AR
Arkansas,5045,Faulkner County,35357,17752,54465,17605,64.92,32.59,32.32,AR
Arkansas,5047,Franklin County,5582,1232,6971,4350,80.07,17.67,62.4,AR
Arkansas,5049,Fulton County,4040,906,5043,3134,80.11,17.97,62.15,AR
Arkansas,5051,Garland County,28359,13015,42327,15344,67.0,30.75,36.25,AR
Arkansas,5053,Grant County,6755,1192,8078,5563,83.62,14.76,68.87,AR
Arkansas,5055,Greene County,12617,2935,15820,9682,79.75,18.55,61.2,AR
Arkansas,5057,Hempstead County,4193,1776,6089,2417,68.86,29.17,39.69,AR
Arkansas,5059,Hot Spring County,9226,2818,12283,6408,75.11,22.94,52.17,AR
Arkansas,5061,Howard County,3246,1158,4473,2088,72.57,25.89,46.68,AR
Arkansas,5063,Independence County,11023,2689,14011,8334,78.67,19.19,59.48,AR
Arkansas,5065,Izard County,4854,949,5925,3905,81.92,16.02,65.91,AR
Arkansas,5067,Jackson County,3509,1183,4775,2326,73.49,24.77,48.71,AR
Arkansas,5069,Jefferson County,8468,12802,21608,-4334,39.19,59.25,-20.06,AR
Arkansas,5071,Johnson County,6766,2107,9059,4659,74.69,23.26,51.43,AR
Arkansas,5073,Lafayette County,1589,698,2325,891,68.34,30.02,38.32,AR
Arkansas,5075,Lawrence County,4608,965,5692,3643,80.96,16.95,64.0,AR
Arkansas,5077,Lee County,1181,1270,2520,-89,46.87,50.4,-3.53,AR
Arkansas,5079,Lincoln County,2502,813,3372,1689,74.2,24.11,50.09,AR
Arkansas,5081,Little River County,3744,1084,4899,2660,76.42,22.13,54.3,AR
Arkansas,5083,Logan County,6567,1464,8205,5103,80.04,17.84,62.19,AR
Arkansas,5085,Lonoke County,23225,6790,30620,16435,75.85,22.18,53.67,AR
Arkansas,5087,Madison County,5885,1491,7501,4394,78.46,19.88,58.58,AR
Arkansas,5089,Marion County,6230,1501,7851,4729,79.35,19.12,60.23,AR
Arkansas,5091,Miller County,11842,3769,15803,8073,74.94,23.85,51.09,AR
Arkansas,5093,Mississippi County,6963,3574,10717,3389,64.97,33.35,31.62,AR
Arkansas,5095,Monroe County,1385,1002,2433,383,56.93,41.18,15.74,AR
Arkansas,5097,Montgomery County,2987,645,3707,2342,80.58,17.4,63.18,AR
Arkansas,5099,Nevada County,2002,849,2907,1153,68.87,29.21,39.66,AR
Arkansas,5101,Newton County,3063,644,3770,2419,81.25,17.08,64.16,AR
Arkansas,5103,Ouachita County,5056,3412,8626,1644,58.61,39.55,19.06,AR
Arkansas,5105,Perry County,3559,923,4584,2636,77.64,20.14,57.5,AR
Arkansas,5107,Phillips County,2098,2754,4938,-656,42.49,55.77,-13.28,AR
Arkansas,5109,Pike County,3746,560,4358,3186,85.96,12.85,73.11,AR
Arkansas,5111,Poinsett County,5731,1235,7079,4496,80.96,17.45,63.51,AR
Arkansas,5113,Polk County,6987,1145,8288,5842,84.3,13.82,70.49,AR
Arkansas,5115,Pope County,18118,5487,24191,12631,74.9,22.68,52.21,AR
Arkansas,5117,Prairie County,2628,524,3200,2104,82.12,16.38,65.75,AR
Arkansas,5119,Pulaski County,57977,92038,153924,-34061,37.67,59.79,-22.13,AR
Arkansas,5121,Randolph County,5367,1138,6636,4229,80.88,17.15,63.73,AR
Arkansas,5123,St. Francis County,2909,2953,5979,-44,48.65,49.39,-0.74,AR
Arkansas,5125,Saline County,39736,16609,57609,23127,68.98,28.83,40.14,AR
Arkansas,5127,Scott County,2913,425,3384,2488,86.08,12.56,73.52,AR
Arkansas,5129,Searcy County,3305,511,3869,2794,85.42,13.21,72.22,AR
Arkansas,5131,Sebastian County,30719,13652,45452,17067,67.59,30.04,37.55,AR
Arkansas,5133,Sevier County,3772,862,4714,2910,80.02,18.29,61.73,AR
Arkansas,5135,Sharp County,5978,1316,7437,4662,80.38,17.7,62.69,AR
Arkansas,5137,Stone County,4808,1089,6030,3719,79.73,18.06,61.67,AR
Arkansas,5139,Union County,10196,5019,15448,5177,66.0,32.49,33.51,AR
Arkansas,5141,Van Buren County,6023,1437,7621,4586,79.03,18.86,60.18,AR
Arkansas,5143,Washington County,50243,43779,97158,6464,51.71,45.06,6.65,AR
Arkansas,5145,White County,24514,5641,30837,18873,79.5,18.29,61.2,AR
Arkansas,5147,Woodruff County,1513,760,2318,753,65.27,32.79,32.48,AR
Arkansas,5149,Yell County,5147,1213,6477,3934,79.47,18.73,60.74,AR
California,6001,Alameda County,140789,499551,669800,-358762,21.02,74.58,-53.56,CA
California,6003,Alpine County,243,479,738,-236,32.93,64.91,-31.98,CA
California,6005,Amador County,14018,7783,22402,6235,62.57,34.74,27.83,CA
California,6007,Butte County,47179,44228,94523,2951,49.91,46.79,3.12,CA
California,6009,Calaveras County,16625,9181,26479,7444,62.79,34.67,28.11,CA
California,6011,Colusa County,4414,2431,7021,1983,62.87,34.62,28.24,CA
California,6013,Contra Costa County,155308,356008,528904,-200700,29.36,67.31,-37.95,CA
California,6015,Del Norte County,5999,4266,10564,1733,56.79,40.38,16.4,CA
California,6017,El Dorado County,61109,47703,111890,13406,54.62,42.63,11.98,CA
California,6019,Fresno County,165924,151628,325994,14296,50.9,46.51,4.39,CA
California,6021,Glenn County,6904,3260,10442,3644,66.12,31.22,34.9,CA
California,6023,Humboldt County,21559,39800,64228,-18241,33.57,61.97,-28.4,CA
California,6025,Imperial County,26546,26083,54025,463,49.14,48.28,0.86,CA
California,6027,Inyo County,4468,4201,8951,267,49.92,46.93,2.98,CA
California,6029,Kern County,167879,108241,283246,59638,59.27,38.21,21.06,CA
California,6031,Kings County,25074,15519,41501,9555,60.42,37.39,23.02,CA
California,6033,Lake County,13161,12794,26759,367,49.18,47.81,1.37,CA
California,6035,Lassen County,8619,2478,11371,6141,75.8,21.79,54.01,CA
California,6037,Los Angeles County,1189862,2417109,3728427,-1227247,31.91,64.83,-32.92,CA
California,6039,Madera County,32344,20981,54624,11363,59.21,38.41,20.8,CA
California,6041,Marin County,24054,116152,144113,-92098,16.69,80.6,-63.91,CA
California,6043,Mariposa County,5625,3622,9509,2003,59.15,38.09,21.06,CA
California,6045,Mendocino County,13528,24049,39216,-10521,34.5,61.32,-26.83,CA
California,6047,Merced County,43955,40190,86392,3765,50.88,46.52,4.36,CA
California,6049,Modoc County,2884,1008,4016,1876,71.81,25.1,46.71,CA
California,6051,Mono County,2294,3522,6064,-1228,37.83,58.08,-20.25,CA
California,6053,Monterey County,49226,93060,146718,-43834,33.55,63.43,-29.88,CA
California,6055,Napa County,20357,43212,65549,-22855,31.06,65.92,-34.87,CA
California,6057,Nevada County,26177,33784,62132,-7607,42.13,54.37,-12.24,CA
California,6059,Orange County,654815,691731,1390965,-36916,47.08,49.73,-2.65,CA
California,6061,Placer County,123941,103958,234809,19983,52.78,44.27,8.51,CA
California,6063,Plumas County,5725,4020,10067,1705,56.87,39.93,16.94,CA
California,6065,Riverside County,463677,451782,940405,11895,49.31,48.04,1.26,CA
California,6067,Sacramento County,252140,381564,656626,-129424,38.4,58.11,-19.71,CA
California,6069,San Benito County,11702,15179,27649,-3477,42.32,54.9,-12.58,CA
California,6071,San Bernardino County,378416,362114,761714,16302,49.68,47.54,2.14,CA
California,6073,San Diego County,593270,841372,1477786,-248102,40.15,56.93,-16.79,CA
California,6075,San Francisco County,62594,323719,402964,-261125,15.53,80.33,-64.8,CA
California,6077,San Joaquin County,128996,126647,263671,2349,48.92,48.03,0.89,CA
California,6079,San Luis Obispo County,64932,81314,150766,-16382,43.07,53.93,-10.87,CA
California,6081,San Mateo County,76616,242957,330510,-166341,23.18,73.51,-50.33,CA
California,6083,Santa Barbara County,64870,114149,184715,-49279,35.12,61.8,-26.68,CA
California,6085,Santa Clara County,210924,510744,750433,-299820,28.11,68.06,-39.95,CA
California,6087,Santa Cruz County,27978,100998,134135,-73020,20.86,75.3,-54.44,CA
California,6089,Shasta County,59539,27130,88900,32409,66.97,30.52,36.46,CA
California,6091,Sierra County,1066,641,1754,425,60.78,36.55,24.23,CA
California,6093,Siskiyou County,12461,8329,21489,4132,57.99,38.76,19.23,CA
