district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,margin
PA 11,160185.0,248335.0,4039.0,412559.0,38.83,60.19,0.98,21.4
PA 12,253683.0,171396.0,3970.0,429049.0,59.13,39.95,0.93,-19.2
PA 13,110793.0,298896.0,3308.0,412997.0,26.83,72.37,0.8,45.5
PA 14,138822.0,279264.0,2996.0,421082.0,32.97,66.32,0.71,33.4
PA 15,121641.0,272777.0,3309.0,397727.0,30.58,68.58,0.83,38.0
PA 16,159531.0,254618.0,3526.0,417675.0,38.2,60.96,0.84,22.8
PA 17,238962.0,213792.0,4345.0,457099.0,52.28,46.77,0.95,-5.5
RI 01,140828.0,88795.0,6420.0,236043.0,59.66,37.62,2.72,-22.0
RI 02,144328.0,125611.0,7390.0,277329.0,52.04,45.29,2.66,-6.7
SC 01,170913.0,222767.0,6068.0,399748.0,42.76,55.73,1.52,13.0
SC 02,154676.0,205609.0,5470.0,365755.0,42.29,56.21,1.5,13.9
SC 03,99185.0,252653.0,4528.0,356366.0,27.83,70.9,1.27,43.1
SC 04,132541.0,216081.0,5727.0,354349.0,37.4,60.98,1.62,23.6
SC 05,141507.0,226471.0,5071.0,373049.0,37.93,60.71,1.36,22.8
SC 06,189949.0,119120.0,5024.0,314093.0,60.48,37.93,1.6,-22.6
SC 07,139681.0,241046.0,4052.0,384779.0,36.3,62.65,1.05,26.3
SD 01,146859.0,272081.0,9982.0,428922.0,34.24,63.43,2.33,29.2
TN 01,71641.0,273119.0,3569.0,348328.0,20.57,78.41,1.02,57.8
TN 02,118782.0,242988.0,5048.0,366818.0,32.38,66.24,1.38,33.9
TN 03,113481.0,243122.0,4735.0,361338.0,31.41,67.28,1.31,35.9
TN 04,93024.0,239838.0,4025.0,336886.0,27.61,71.19,1.19,43.6
TN 05,148953.0,215598.0,5924.0,370476.0,40.21,58.2,1.6,18.0
TN 06,115402.0,241384.0,4489.0,361274.0,31.94,66.81,1.24,34.9
TN 07,127832.0,202528.0,4875.0,335235.0,38.13,60.41,1.45,22.3
TN 08,100646.0,243930.0,3956.0,348532.0,28.88,69.99,1.14,41.1
TN 09,166505.0,64358.0,4192.0,235055.0,70.84,27.38,1.78,-43.5
TX 01,78554.0,246341.0,2867.0,327762.0,23.97,75.16,0.87,51.2
TX 02,124591.0,203572.0,4133.0,332296.0,37.49,61.26,1.24,23.8
TX 03,153496.0,232845.0,10745.0,397086.0,38.66,58.64,2.71,20.0
TX 04,120188.0,239000.0,6584.0,365772.0,32.86,65.34,1.8,32.5
TX 05,111027.0,194765.0,4172.0,309964.0,35.82,62.83,1.35,27.0
TX 06,104283.0,188788.0,3898.0,296969.0,35.12,63.57,1.31,28.5
TX 07,148939.0,96446.0,7775.0,253160.0,58.83,38.1,3.07,-20.7
TX 08,113192.0,231430.0,4516.0,349138.0,32.42,66.29,1.29,33.9
TX 09,169152.0,64547.0,3789.0,237488.0,71.23,27.18,1.6,-44.0
TX 10,131832.0,220455.0,5662.0,357949.0,36.83,61.59,1.58,24.8
TX 11,71371.0,192256.0,2770.0,266397.0,26.79,72.17,1.04,45.4
TX 12,131637.0,209675.0,4231.0,345543.0,38.1,60.68,1.22,22.6
TX 13,77647.0,222444.0,3246.0,303337.0,25.6,73.33,1.07,47.7
TX 14,101609.0,208133.0,3334.0,313076.0,32.46,66.48,1.06,34.0
TX 15,93470.0,134492.0,1985.0,229947.0,40.65,58.49,0.86,17.8
TX 16,132189.0,95314.0,3432.0,230935.0,57.24,41.27,1.49,-16.0
TX 17,105151.0,193379.0,3684.0,302214.0,34.79,63.99,1.22,29.2
TX 18,154658.0,65672.0,3386.0,223716.0,69.13,29.36,1.51,-39.8
TX 19,66862.0,212708.0,2764.0,282334.0,23.68,75.34,0.98,51.7
TX 20,147731.0,95409.0,3472.0,246612.0,59.9,38.69,1.41,-21.2
TX 21,163529.0,266214.0,5749.0,435492.0,37.55,61.13,1.32,23.6
TX 22,136415.0,204250.0,7520.0,348185.0,39.18,58.66,2.16,19.5
TX 23,127466.0,174884.0,3611.0,305961.0,41.66,57.16,1.18,15.5
TX 24,157912.0,217060.0,7398.0,382370.0,41.3,56.77,1.93,15.5
TX 25,106958.0,231281.0,4258.0,342497.0,31.23,67.53,1.24,36.3
TX 26,149357.0,242431.0,5673.0,397461.0,37.58,60.99,1.43,23.4
TX 27,99365.0,184202.0,2742.0,286309.0,34.71,64.34,0.96,29.6
TX 28,114995.0,133220.0,2737.0,250952.0,45.82,53.09,1.09,7.3
TX 29,92820.0,61054.0,1914.0,155788.0,59.58,39.19,1.23,-20.4
TX 30,185466.0,65876.0,4242.0,255584.0,72.57,25.77,1.66,-46.8
TX 31,142612.0,230599.0,6324.0,379535.0,37.58,60.76,1.67,23.2
TX 32,145115.0,88312.0,7103.0,240530.0,60.33,36.72,2.95,-23.6
TX 33,113651.0,55269.0,4443.0,173363.0,65.56,31.88,2.56,-33.7
TX 34,96999.0,106063.0,1854.0,204916.0,47.34,51.76,0.9,4.4
TX 35,176214.0,86521.0,5104.0,267839.0,65.79,32.3,1.91,-33.5
TX 36,94136.0,205595.0,3419.0,303150.0,31.05,67.82,1.13,36.8
TX 37,259547.0,85851.0,9098.0,354496.0,73.22,24.22,2.57,-49.0
TX 38,134998.0,207050.0,6357.0,348405.0,38.75,59.43,1.82,20.7
UT 01,144821.0,220203.0,11134.0,376158.0,38.5,58.54,2.96,20.0
UT 02,140202.0,214067.0,9281.0,363550.0,38.56,58.88,2.55,20.3
UT 03,146114.0,218568.0,10450.0,375132.0,38.95,58.26,2.79,19.3
UT 04,131429.0,230980.0,10702.0,373111.0,35.23,61.91,2.87,26.7
VA 01,227074.0,250992.0,8525.0,486591.0,46.67,51.58,1.75,4.9
VA 02,203215.0,204280.0,6689.0,414184.0,49.06,49.32,1.61,0.3
VA 03,213089.0,102194.0,5646.0,320929.0,66.4,31.84,1.76,-34.6
VA 04,250985.0,125928.0,6822.0,383735.0,65.41,32.82,1.78,-32.6
VA 05,191693.0,246006.0,6390.0,444089.0,43.17,55.4,1.44,12.2
VA 06,154343.0,252663.0,6553.0,413559.0,37.32,61.09,1.58,23.8
VA 07,203210.0,191700.0,9154.0,404064.0,50.29,47.44,2.27,-2.8
VA 08,285004.0,92725.0,12487.0,390216.0,73.04,23.76,3.2,-49.3
VA 09,112210.0,291613.0,4723.0,408546.0,27.47,71.38,1.16,43.9
VA 10,221133.0,186201.0,13200.0,420534.0,52.58,44.28,3.14,-8.3
VA 11,273439.0,130783.0,15272.0,419494.0,65.18,31.18,3.64,-34.0
VT 01,235791.0,119395.0,11203.0,366389.0,64.36,32.59,3.06,-31.8
WA 01,232691.0,126084.0,15625.0,374400.0,62.15,33.68,4.17,-28.5
WA 02,254400.0,154441.0,16277.0,425118.0,59.84,36.33,3.83,-23.5
WA 03,197986.0,211907.0,14310.0,424203.0,46.67,49.95,3.37,3.3
WA 04,119032.0,183219.0,10073.0,312324.0,38.11,58.66,3.23,20.6
WA 05,173909.0,217375.0,14538.0,405822.0,42.85,53.56,3.58,10.7
WA 06,251826.0,168264.0,16230.0,436320.0,57.72,38.56,3.72,-19.2
WA 07,373392.0,47188.0,17044.0,437624.0,85.32,10.78,3.89,-74.5
WA 08,218294.0,193710.0,16595.0,428599.0,50.93,45.2,3.87,-5.7
WA 09,219426.0,88121.0,13058.0,320605.0,68.44,27.49,4.07,-41.0
WA 10,204893.0,140614.0,13721.0,359228.0,57.04,39.14,3.82,-17.9
WI 01,189560.0,207736.0,6933.0,404229.0,46.89,51.39,1.72,4.5
WI 02,324784.0,136735.0,8089.0,469608.0,69.16,29.12,1.72,-40.0
WI 03,191708.0,222857.0,7176.0,421741.0,45.46,52.84,1.7,7.4
WI 04,258176.0,80483.0,7045.0,345704.0,74.68,23.28,2.04,-51.4
WI 05,183713.0,290101.0,7789.0,481603.0,38.15,60.24,1.62,22.1
WI 06,175452.0,245778.0,6539.0,427769.0,41.02,57.46,1.53,16.4
WI 07,167604.0,266844.0,7362.0,441810.0,37.94,60.4,1.67,22.5
WI 08,177232.0,247092.0,6130.0,430454.0,41.17,57.4,1.42,16.2
WV 01,98066.0,259831.0,6765.0,364662.0,26.89,71.25,1.86,44.4
WV 02,116243.0,273725.0,7760.0,397728.0,29.23,68.82,1.95,39.6
WY 01,69527.0,192633.0,4193.0,266353.0,26.1,72.32,1.57,46.2
