district,candidate_1,party_1,votes_1,percent_1,winner_1,incumbent_1,flipped,candidate_2,party_2,votes_2,percent_2,winner_2,incumbent_2,total_votes,margin,house_turnout
CA 26,Brownley,D,187393.0,56.05,True,True,False,Koslow,R,146913.0,43.95,False,False,334306.0,-12.099999999999994,66.04097113846032
CA 27,Whitesides,D,154040.0,51.33,True,False,False,Garcia,R,146050.0,48.67,False,True,300090.0,-2.6599999999999966,60.19799199606825
CA 28,Chu,D,204489.0,64.93,True,True,False,Verlato,R,110455.0,35.07,False,False,314944.0,-29.860000000000007,60.81584969055642
CA 29,Rivas,D,146312.0,69.78,True,False,False,Bernal,R,63374.0,30.22,False,False,209686.0,-39.56,47.35884000361369
CA 30,Friedman,D,213100.0,68.38,True,False,False,Balekian,R,98559.0,31.62,False,False,311659.0,-36.75999999999999,57.14843678371688
CA 31,Cisneros,D,148095.0,59.73,True,False,False,Martinez,R,99856.0,40.27,False,False,247951.0,-19.459999999999994,51.29260144185517
CA 32,Sherman,D,212934.0,66.2,True,True,False,Thompson,R,108711.0,33.8,False,False,321645.0,-32.400000000000006,59.294319344461755
CA 33,Aguilar,D,137197.0,58.81,True,True,False,Herman,R,96078.0,41.19,False,False,233275.0,-17.620000000000005,49.156060350640594
CA 34,Gomez,D,105394.0,55.64,True,True,False,Kim,D,84020.0,44.36,False,False,189414.0,-11.280000000000001,44.27474492479226
CA 35,Torres,D,136413.0,58.41,True,True,False,Cargile,R,97142.0,41.59,False,False,233555.0,-16.819999999999993,49.32159185699051
CA 36,Lieu,D,246002.0,68.72,True,True,False,Toomim,R,111985.0,31.28,False,False,357987.0,-37.44,65.81732271883216
CA 37,Kamlager-Dove,D,160364.0,78.3,True,True,False,Rey,NX,44450.0,21.7,False,False,204814.0,-56.599999999999994,47.16662636590786
CA 38,Sanchez,D,165110.0,59.84,True,True,False,Ching,R,110818.0,40.16,False,False,275928.0,-19.680000000000007,54.33150868349546
CA 39,Takano,D,130191.0,56.69,True,True,False,Serpa,R,99469.0,43.31,False,False,229660.0,-13.379999999999995,47.75777992659368
CA 40,Kim,R,211998.0,55.26,True,True,False,Kerr,D,171637.0,44.74,False,False,383635.0,10.519999999999996,71.69139632232022
CA 41,Calvert,R,183216.0,51.69,True,True,False,Rollins,D,171229.0,48.31,False,False,354445.0,3.3799999999999955,64.05381716980962
CA 42,Garcia,D,159153.0,68.14,True,True,False,Briscoe,R,74410.0,31.86,False,False,233563.0,-36.28,51.459763150647206
CA 43,Waters,D,160080.0,75.07,True,True,False,Williams,R,53152.0,24.93,False,False,213232.0,-50.13999999999999,49.717756508154864
CA 44,Barragan,D,164765.0,71.37,True,True,False,Groh,R,66087.0,28.63,False,False,230852.0,-42.74000000000001,49.71615626480596
CA 45,Tran,D,158264.0,50.1,True,False,False,Steel,R,157611.0,49.9,False,True,315875.0,-0.20000000000000284,62.59288615872387
CA 46,Correa,D,134013.0,63.43,True,True,False,Pan,R,77279.0,36.57,False,False,211292.0,-26.86,48.25230080613853
CA 47,Min,D,181721.0,51.44,True,False,False,Baugh,R,171554.0,48.56,False,False,353275.0,-2.8799999999999955,66.63240189745089
CA 48,Issa,R,213625.0,59.29,True,True,False,Houlahan,D,146665.0,40.71,False,False,360290.0,18.58,67.14750309841305
CA 49,Levin,D,197397.0,52.17,True,True,False,Gunderson,R,180950.0,47.83,False,False,378347.0,-4.340000000000003,69.82955436818841
CA 50,Peters,D,231836.0,64.27,True,True,False,Bono,R,128859.0,35.73,False,False,360695.0,-28.54,65.70275784181572
CA 51,Jacobs,D,198835.0,60.7,True,True,False,Wells,R,128749.0,39.3,False,False,327584.0,-21.400000000000006,60.028953106961566
CA 52,Vargas,D,172217.0,66.31,True,True,False,Lee,R,87501.0,33.69,False,False,259718.0,-32.620000000000005,53.232355322354195
CO 01,DeGette,D,264606.0,76.56,True,True,False,Archuleta,R,74598.0,21.58,False,False,339204.0,-54.980000000000004,62.90292072322671
CO 02,Neguse,D,284994.0,68.36,True,True,False,Dawson,R,120633.0,28.94,False,False,405627.0,-39.42,72.24954357216012
CO 03,Hurd,R,201951.0,50.8,True,False,False,Frisch,D,182147.0,45.82,False,False,384098.0,4.979999999999997,69.39690684396906
CO 04,Boebert,R,240213.0,53.64,True,False,False,Calvarese,D,188249.0,42.04,False,False,428462.0,11.600000000000001,78.85706923841425
CO 05,Crank,R,197924.0,54.66,True,False,False,Gassen,D,147972.0,40.87,False,False,345896.0,13.79,64.30488938464399
CO 06,Crow,D,202686.0,58.97,True,True,False,Fabbricatore,R,132174.0,38.46,False,False,334860.0,-20.509999999999998,66.8489978439671
CO 07,Pettersen,D,235688.0,55.34,True,True,False,Matveyuk,R,175273.0,41.15,False,False,410961.0,-14.190000000000005,71.9614418168924
CO 08,Evans,R,163320.0,48.96,True,False,False,Caraveo,D,160871.0,48.22,False,True,324191.0,0.740000000000002,65.35779446600473
CT 01,Larson,D,208649.0,63.13,True,True,False,Griffin,R,115065.0,34.82,False,False,323714.0,-28.310000000000002,60.853643635269904
CT 02,Courtney,D,218162.0,58.02,True,True,False,France,R,157878.0,41.98,False,False,376040.0,-16.040000000000006,67.10805746408495
CT 03,DeLauro,D,193684.0,58.91,True,True,False,Massey,R,135113.0,41.09,False,False,328797.0,-17.819999999999993,60.9272590821914
CT 04,Himes,D,200791.0,61.06,True,True,False,Goldstein,R,122793.0,37.34,False,False,323584.0,-23.72,66.73073353818233
CT 05,Hayes,D,180268.0,53.41,True,True,False,Logan,R,157258.0,46.59,False,False,337526.0,-6.819999999999993,64.32558627064215
DE 01,McBride,D,287830.0,57.86,True,False,False,Whalen,R,209606.0,42.14,False,False,497436.0,-15.719999999999999,66.1906536086864
FL 01,Gaetz,R,274108.0,66.04,True,True,False,Valimont,D,140980.0,33.96,False,False,415088.0,32.080000000000005,70.17429967371642
FL 02,Dunn,R,247957.0,61.64,True,True,False,Bailey,D,154323.0,38.36,False,False,402280.0,23.28,66.08947083080056
FL 03,Cammack,R,241174.0,61.61,True,True,False,Wells,D,150283.0,38.39,False,False,391457.0,23.22,64.7057753975338
FL 04,Bean,R,222364.0,57.27,True,True,False,Holloway,D,165912.0,42.73,False,False,388276.0,14.540000000000006,66.42021981781636
FL 05,Rutherford,R,267471.0,63.08,True,True,False,McGovern,D,156570.0,36.92,False,False,424041.0,26.159999999999997,72.82924567188788
FL 06,Waltz,R,284414.0,66.54,True,True,False,Stockton,D,143050.0,33.46,False,False,427464.0,33.080000000000005,67.76430303894992
FL 07,Mills,R,233937.0,56.53,True,True,False,Adams,D,179917.0,43.47,False,False,413854.0,13.060000000000002,69.54243753255702
FL 08,Haridopolos,R,280352.0,62.24,True,False,False,Kennedy,D,170096.0,37.76,False,False,450448.0,24.480000000000004,71.96344697574848
