GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,S1501_C01_023E,S1501_C01_024E,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,college_educated
Geography,Geographic Area Name,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Some college or associate's degree,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree,Population 25 years and over!!High school graduate or higher,Population 25 years and over!!Bachelor's degree or higher,Population 25 to 34 years,Population 25 to 34 years!!High school graduate or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years,Population 35 to 44 years!!High school graduate or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years,Population 45 to 64 years!!High school graduate or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over,Population 65 years and over!!High school graduate or higher,Population 65 years and over!!Bachelor's degree or higher,Total-CollegeEducated
0500000US01041,"Crenshaw County, Alabama",1024,194,555,263,12,9104,557,1029,3760,1492,736,1046,484,7518,1530,1558,1354,278,1428,1265,289,3500,2897,503,2618,2002,460,1542
0500000US01043,"Cullman County, Alabama",6931,1121,2532,2970,308,62400,2748,6615,19333,14423,7371,7754,4156,53037,11910,11153,10202,2055,10638,9112,2407,23665,19557,3997,16944,14166,3451,12218
0500000US01045,"Dale County, Alabama",4166,541,1666,1537,422,33832,1577,3253,10549,8401,3513,4370,2169,29002,6539,6941,6271,1464,6003,5096,1536,11996,10029,1932,8892,7606,1607,6961
0500000US01047,"Dallas County, Alabama",3083,458,1589,945,91,25507,770,2531,9958,5233,2677,2868,1470,22206,4338,4214,3975,850,4210,3742,741,9660,8693,1402,7423,5796,1345,4429
0500000US01049,"DeKalb County, Alabama",6040,892,2589,2098,461,48464,5010,5194,16307,9748,5478,4115,2612,38260,6727,8591,7692,1098,8687,6673,1342,18679,14245,2747,12507,9650,1540,7188
0500000US01051,"Elmore County, Alabama",7498,1246,3420,2498,334,61916,1933,4513,21341,12917,6108,9976,5128,55470,15104,12412,11348,3027,11587,10392,2559,23673,21180,5591,14244,12550,3927,15438
0500000US01053,"Escambia County, Alabama",2843,501,1241,983,118,25499,1305,3149,11014,4549,2297,2080,1105,21045,3185,4741,3906,469,4590,3513,467,9254,7904,1410,6914,5722,839,3303
0500000US01055,"Etowah County, Alabama",8151,1083,3143,3555,370,72570,3375,6946,24651,17152,7763,7698,4985,62249,12683,12530,11239,1927,12197,10434,2600,27724,23271,4378,20119,17305,3778,13053
0500000US01057,"Fayette County, Alabama",1501,341,730,430,0,11220,598,1059,4252,2514,1047,1107,643,9563,1750,1721,1549,165,1887,1544,304,4117,3540,579,3495,2930,702,1750
0500000US01059,"Franklin County, Alabama",2797,642,1193,812,150,21156,1429,2911,8336,3931,1399,2036,1114,16816,3150,3768,3064,413,3763,3005,724,8132,6466,1361,5493,4281,652,3300
0500000US01061,"Geneva County, Alabama",1847,411,863,501,72,18969,1156,2029,7086,4193,1979,1812,714,15784,2526,2973,2671,505,3101,2419,394,7439,6419,1087,5456,4275,540,2598
0500000US01063,"Greene County, Alabama",693,129,174,277,113,5274,211,738,2407,859,401,396,262,4325,658,858,846,99,674,618,46,1924,1633,310,1818,1228,203,771
0500000US01065,"Hale County, Alabama",1266,279,565,416,6,9968,597,1208,3812,1677,1002,1100,572,8163,1672,1645,1130,497,1738,1661,314,3649,3180,463,2936,2192,398,1678
0500000US01067,"Henry County, Alabama",1158,213,446,426,73,12722,712,1548,4119,2422,1163,1805,953,10462,2758,1936,1524,253,2055,1699,448,4658,4079,1250,4073,3160,807,2831
0500000US01069,"Houston County, Alabama",8326,1129,3584,3223,390,74490,2846,6540,23903,16962,7279,10662,6298,65104,16960,13572,12230,2705,13572,11858,3531,27557,24174,6527,19789,16842,4197,17350
0500000US01071,"Jackson County, Alabama",3966,739,1764,1336,127,37890,2046,4753,14353,7405,3441,3583,2309,31091,5892,5993,5354,832,6314,5173,858,14579,11722,2582,11004,8842,1620,6019
0500000US01073,"Jefferson County, Alabama",61061,6041,20939,25499,8582,454593,11311,29639,117710,95423,37144,96623,66743,413643,163366,94922,88346,40458,86785,78539,35568,162704,147954,55120,110182,98804,32220,171948
0500000US01075,"Lamar County, Alabama",898,119,435,320,24,9826,504,1078,4031,2200,874,678,461,8244,1139,1517,1374,181,1531,1419,234,3715,3208,440,3063,2243,284,1163
0500000US01077,"Lauderdale County, Alabama",11558,632,3867,6097,962,64931,2026,4919,21819,13336,5245,10681,6905,57986,17586,11256,10407,3041,10646,9755,3089,23857,21035,6337,19172,16789,5119,18548
0500000US01079,"Lawrence County, Alabama",2580,395,1244,812,129,23380,1194,2416,9616,4645,1857,2421,1231,19770,3652,3957,3752,620,3794,3279,824,9401,7659,1262,6228,5080,946,3781
0500000US01081,"Lee County, Alabama",30221,2151,6814,17841,3415,109875,3327,6094,23949,21020,10070,24876,20539,100454,45415,24315,23017,11735,22063,20684,9781,40527,36634,15901,22970,20119,7998,48830
0500000US01083,"Limestone County, Alabama",8030,1028,2969,3416,617,75594,3305,6097,19932,16275,7011,14425,8549,66192,22974,14098,13056,4505,15381,13145,5480,29571,26299,8656,16544,13692,4333,23591
0500000US01085,"Lowndes County, Alabama",810,179,456,103,72,6999,385,789,3079,1038,737,636,335,5825,971,1194,1088,128,1075,848,228,2723,2321,267,2007,1568,348,1043
0500000US01087,"Macon County, Alabama",4346,261,1061,2889,135,11661,393,1449,3699,2888,814,1311,1107,9819,2418,1914,1623,282,1424,1188,234,4396,3858,911,3927,3150,991,2553
0500000US01089,"Madison County, Alabama",38222,2910,10913,18379,6020,272559,6157,14037,52261,54791,20780,73736,50797,252365,124533,56207,52742,26623,50830,47288,24850,104126,96296,47837,61396,56039,25223,130553
0500000US01091,"Marengo County, Alabama",1809,390,625,697,97,12932,891,969,4453,2644,1335,1562,1078,11072,2640,1855,1387,410,2243,1984,450,4992,4533,1138,3842,3168,642,2737
0500000US01093,"Marion County, Alabama",2262,441,682,972,167,20753,1174,2539,7491,4518,2368,1752,911,17040,2663,3337,3008,438,3167,2839,526,8092,6530,1081,6157,4663,618,2830
0500000US01095,"Marshall County, Alabama",8088,1401,3199,3091,397,65093,4508,5633,21272,12963,6835,9466,4416,54952,13882,11911,10470,2640,11715,9235,2002,24711,21067,5853,16756,14180,3387,14279
0500000US01097,"Mobile County, Alabama",36238,4386,14270,14946,2636,280248,7085,23719,94779,59765,24417,45444,25039,249444,70483,56921,51756,14825,51100,45994,15236,102119,90618,24169,70108,61076,16253,73119
0500000US01099,"Monroe County, Alabama",1920,376,1078,429,37,13506,397,1816,6154,2554,1051,842,692,11293,1534,1728,1559,153,2277,2071,242,5358,4511,622,4143,3152,517,1571
0500000US01101,"Montgomery County, Alabama",21891,2277,8747,8990,1877,150598,5064,11737,39432,31413,11336,30013,21603,133797,51616,31515,28667,10404,28583,25764,10388,54538,47834,18940,35962,31532,11884,53493
0500000US01103,"Morgan County, Alabama",9765,1535,4463,3202,565,85093,5267,7425,26768,18809,7048,12989,6787,72401,19776,14786,13032,2460,15617,12655,4382,32567,27609,8304,22123,19105,4630,20341
0500000US01105,"Perry County, Alabama",1267,75,381,803,8,5211,195,734,2220,839,345,545,333,4282,878,514,480,87,839,762,102,2127,1776,393,1731,1264,296,886
0500000US01107,"Pickens County, Alabama",1592,206,495,756,135,13612,1045,1149,5854,2448,1245,1245,626,11418,1871,2336,2053,341,2573,2111,222,5028,4238,743,3675,3016,565,2006
0500000US01109,"Pike County, Alabama",7304,311,2068,4405,520,19352,592,1811,6573,3780,1310,3102,2184,16949,5286,4022,3604,971,3285,3040,1106,6955,6077,1726,5090,4228,1483,5806
0500000US01111,"Randolph County, Alabama",1946,324,503,1063,56,15690,707,1866,5583,2641,1674,1899,1320,13117,3219,2549,2202,629,2360,1931,375,6155,5224,1301,4626,3760,914,3275
0500000US01113,"Russell County, Alabama",4533,970,1972,1171,420,40019,2089,3598,12427,10227,4934,4323,2421,34332,6744,8508,7873,1544,7564,6799,1598,14999,12782,2340,8948,6878,1262,7164
0500000US01115,"St. Clair County, Alabama",6732,1336,2518,2268,610,65356,2744,5370,22658,15668,5882,8822,4212,57242,13034,11861,11260,2406,12321,10592,3418,24889,21463,3876,16285,13927,3334,13644
0500000US01117,"Shelby County, Alabama",18922,2305,5909,7805,2903,155808,3140,6196,31864,30215,12412,46948,25033,146472,71981,27489,26326,12448,30896,29362,15871,60234,56311,29504,37189,34473,14158,74884
0500000US01119,"Sumter County, Alabama",2588,26,553,1958,51,7121,168,690,2430,2040,438,753,602,6263,1355,1126,1092,97,1163,912,211,2520,2326,418,2312,1933,629,1406
0500000US01121,"Talladega County, Alabama",6393,805,2899,2402,287,57894,2568,6399,20730,13348,5109,5312,4428,48927,9740,10634,9076,1033,9894,8334,1812,22009,18768,3980,15357,12749,2915,10027
0500000US01123,"Tallapoosa County, Alabama",2930,301,1272,1168,189,29757,1357,3461,9741,6916,2710,3560,2012,24939,5572,4791,4163,370,4266,3428,751,11358,9445,2417,9342,7903,2034,5761
0500000US01125,"Tuscaloosa County, Alabama",42340,2088,12594,23320,4338,143277,4286,8794,41336,30701,13203,26261,18696,130197,44957,32270,30536,10803,28229,25446,9200,50609,45980,15504,32169,28235,9450,49295
0500000US01127,"Walker County, Alabama",5282,792,2168,2045,277,44887,2160,5525,15406,10012,4601,4328,2855,37202,7183,7740,7052,1358,7296,6182,1610,17155,14062,2341,12696,9906,1874,7460
0500000US01129,"Washington County, Alabama",1372,62,653,556,101,10738,189,1026,4393,2381,1009,917,823,9523,1740,1421,1356,339,1789,1494,209,4406,4079,671,3122,2594,521,1841
0500000US01131,"Wilcox County, Alabama",1087,307,362,405,13,6931,459,1075,2708,1337,497,554,301,5397,855,1075,916,96,1092,815,107,2550,2024,340,2214,1642,312,868
0500000US01133,"Winston County, Alabama",1764,341,782,587,54,17058,1189,2433,6837,3040,1278,1411,870,13436,2281,2599,2070,297,2518,1895,222,6771,5416,905,5170,4055,857,2335
0500000US02013,"Aleutians East Borough, Alaska",406,28,175,130,73,2607,185,235,1030,514,170,336,137,2187,473,516,415,83,526,495,130,1172,973,217,393,304,43,546
0500000US02016,"Aleutians West Census Area, Alaska",574,63,270,200,41,3921,213,160,1520,1100,241,581,106,3548,687,964,856,183,880,821,189,1747,1603,282,330,268,33,728
0500000US02020,"Anchorage Municipality, Alaska",27920,3043,13121,10196,1560,192495,4231,7303,47142,44652,16637,45019,27511,180961,72530,48210,45175,15792,41120,39246,17629,67229,63353,25519,35936,33187,13590,74090
0500000US02050,"Bethel Census Area, Alaska",1866,668,870,309,19,10181,619,1221,4876,1769,638,566,492,8341,1058,3044,2400,173,1991,1684,227,3664,3310,520,1482,947,138,1077
0500000US02060,"Bristol Bay Borough, Alaska",36,5,21,10,0,696,15,20,212,222,52,140,35,661,175,213,199,76,89,88,34,273,270,40,121,104,25,175
0500000US02063,"Chugach Census Area, Alaska",575,113,340,95,27,4861,33,177,1244,1319,650,985,453,4651,1438,1079,1014,276,997,984,411,1874,1747,567,911,906,184,1465
0500000US02066,"Copper River Census Area, Alaska",100,17,38,42,3,1841,59,107,488,551,114,319,203,1675,522,219,207,58,280,266,89,765,722,173,577,480,202,525
0500000US02068,"Denali Borough, Alaska",98,8,38,52,0,1663,23,87,771,248,141,261,132,1553,393,347,279,98,623,623,100,417,394,121,276,257,74,393
0500000US02070,"Dillingham Census Area, Alaska",442,97,233,102,10,2863,127,235,1215,539,193,374,180,2501,554,737,650,116,488,426,54,1044,970,216,594,455,168,564
0500000US02090,"Fairbanks North Star Borough, Alaska",11470,707,4751,5267,745,61207,1022,2111,15646,15596,6200,12151,8481,58074,20632,17015,16328,4786,12799,12364,4922,19708,18367,6713,11685,11015,4211,21377
0500000US02100,"Haines Borough, Alaska",40,0,35,5,0,1581,9,17,471,405,95,325,259,1555,584,110,110,33,192,191,118,722,718,228,557,536,205,584
0500000US02105,"Hoonah-Angoon Census Area, Alaska",201,16,112,63,10,1760,12,102,630,404,202,278,132,1646,410,243,227,36,197,187,49,687,657,139,633,575,186,420
0500000US02110,"Juneau City and Borough, Alaska",2574,613,1005,852,104,22898,312,913,4883,5392,2134,5864,3400,21673,9264,4542,4212,1835,4847,4686,1814,8669,8188,3503,4840,4587,2112,9368
0500000US02122,"Kenai Peninsula Borough, Alaska",4102,576,2103,1257,166,42452,586,1830,13002,10608,3949,8110,4367,40036,12477,7697,7141,1877,7486,7138,2586,15691,14717,4438,11578,11040,3576,12643
0500000US02130,"Ketchikan Gateway Borough, Alaska",1005,105,506,347,47,9985,129,378,2929,3115,741,1817,876,9478,2693,1976,1894,492,1925,1822,569,3686,3546,1118,2398,2216,514,2740
0500000US02150,"Kodiak Island Borough, Alaska",1350,261,738,331,20,8456,307,324,2448,2114,844,1727,692,7825,2419,1808,1767,454,2243,2170,669,2783,2380,790,1622,1508,506,2439
0500000US02158,"Kusilvak Census Area, Alaska",824,280,437,105,2,3994,147,610,2090,804,113,194,36,3237,230,1176,925,8,849,730,101,1438,1257,102,531,325,19,232
0500000US02164,"Lake and Peninsula Borough, Alaska",80,20,29,17,14,652,19,39,309,116,49,80,40,594,120,216,206,35,170,155,33,165,148,21,101,85,31,134
0500000US02170,"Matanuska-Susitna Borough, Alaska",8870,1234,4883,2415,338,73088,1132,3039,24748,18023,8400,11510,6236,68917,17746,15425,14460,2807,15759,15035,4154,27191,25463,6968,14713,13959,3817,18084
0500000US02180,"Nome Census Area, Alaska",1009,122,567,245,75,5547,161,471,2453,1315,179,466,502,4915,968,1433,1302,156,1241,1107,231,2037,1816,463,836,690,118,1043
0500000US02185,"North Slope Borough, Alaska",875,131,498,224,22,7302,181,536,3192,1696,607,647,443,6585,1090,1786,1602,277,1719,1606,344,2939,2697,366,858,680,103,1112
0500000US02188,"Northwest Arctic Borough, Alaska",666,143,383,115,25,4084,159,416,1875,957,171,345,161,3509,506,1140,991,150,860,715,86,1445,1321,160,639,482,110,531
0500000US02195,"Petersburg Borough, Alaska",276,25,140,99,12,2466,127,105,731,619,207,467,210,2234,677,322,303,70,420,416,163,978,833,230,746,682,214,689
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",407,85,228,84,10,4098,51,258,1592,1158,343,493,203,3789,696,637,566,56,656,618,104,1641,1536,378,1164,1069,158,706
0500000US02220,"Sitka City and Borough, Alaska",645,69,249,228,99,6101,118,148,1526,1572,640,1330,767,5835,2097,1249,1228,421,1187,1159,430,2216,2074,687,1449,1374,559,2196
0500000US02230,"Skagway Municipality, Alaska",93,15,23,51,4,1038,45,20,381,243,61,221,67,973,288,218,206,18,201,199,73,386,383,146,233,185,51,292
0500000US02240,"Southeast Fairbanks Census Area, Alaska",511,116,267,78,50,4674,109,217,1776,1268,389,624,291,4348,915,868,829,117,895,786,163,1812,1747,377,1099,986,258,965
0500000US02275,"Wrangell City and Borough, Alaska",158,30,71,57,0,1515,29,119,482,434,165,218,68,1367,286,290,237,65,187,179,60,535,479,86,503,472,75,286
0500000US02282,"Yakutat City and Borough, Alaska",42,25,10,7,0,398,2,29,175,107,26,43,16,367,59,61,60,8,56,54,21,141,117,19,140,136,11,59
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",395,20,275,75,25,3479,126,339,1369,987,213,302,143,3014,445,695,635,67,634,594,82,1280,1139,152,870,646,144,470
0500000US02290,"All, Alaska",67610,8635,32416,23058,3501,487903,10288,21566,141206,117847,44564,95793,56639,456049,152432,114236,106424,30623,101517,96544,35635,174335,162925,54739,97815,90156,31435,155933
0500000US04001,"Apache County, Arizona",5933,1004,2365,2434,130,42473,2850,3554,13264,12184,4136,3769,2716,36069,6485,8537,7757,697,7608,6733,1394,15666,13703,2560,10662,7876,1834,6615
0500000US04003,"Cochise County, Arizona",9985,1728,3274,4797,186,89259,3738,5886,22464,22904,9580,15057,9630,79635,24687,15284,13731,3537,14525,12965,3885,29130,25981,7869,30320,26958,9396,24873
0500000US04005,"Coconino County, Arizona",28340,1413,6612,18172,2143,87596,2645,4385,18759,19593,7509,20482,14223,80566,34705,20053,19004,7917,16648,15654,7546,30695,28024,11158,20200,17884,8084,36848
0500000US04007,"Gila County, Arizona",3287,760,1368,897,262,40128,874,3286,12616,11520,4269,4991,2572,35968,7563,5231,4421,530,5058,4464,827,13550,12363,2781,16289,14720,3425,7825
0500000US04009,"Graham County, Arizona",3773,673,1513,1341,246,24775,1267,2638,7509,7178,2568,2407,1208,20870,3615,5736,4922,828,5289,4147,646,8204,6937,1277,5546,4864,864,3861
0500000US04011,"Greenlee County, Arizona",857,164,465,228,0,6030,288,430,1857,1781,443,946,285,5312,1231,1152,996,362,1469,1270,510,2090,1799,190,1319,1247,169,1231
0500000US04012,"La Paz County, Arizona",763,131,353,267,12,13237,776,1534,4520,3119,1454,1165,669,10927,1834,1280,1090,135,1355,1074,215,3590,2930,612,7012,5833,872,1846
0500000US04013,"Maricopa County, Arizona",412802,55940,147345,157927,51590,3053505,146450,174281,670499,690275,277074,681592,413334,2732774,1094926,654305,601228,237637,596832,528431,230216,1084289,953851,379930,718079,649264,247143,1146516
