district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,Winner,margin,Data source,@
CA-31,"151,581","106,588","8,016","266,185",56.95%,40.04%,3.01%,Harris,16.90%,L.A. Co.,
CA-32,"224,304","114,803","10,213","349,320",64.21%,32.86%,2.92%,Harris,31.30%,"Los Angeles, Ventura Counties",
CA-33,"129,054","107,755","7,079","243,888",52.92%,44.18%,2.90%,Harris,8.70%,San Bernard. Co.,
CA-34,"156,740","48,092","9,707","214,539",73.06%,22.42%,4.52%,Harris,50.60%,L.A. Co.,
CA-35,"131,010","105,937","7,176","244,123",53.67%,43.39%,2.94%,Harris,10.30%,Leon Sit,politicsmaps
CA-36,"261,912","111,106","12,602","385,620",67.92%,28.81%,3.27%,Harris,39.10%,L.A. Co.,
CA-37,"184,950","42,949","7,225","235,124",78.66%,18.27%,3.07%,Harris,60.40%,L.A. Co.,
CA-38,"166,559","119,143","9,175","294,877",56.48%,40.40%,3.11%,Harris,16.10%,Leon Sit,politicsmaps
CA-39,"125,934","103,033","7,257","236,224",53.31%,43.62%,3.07%,Harris,9.70%,Riverside Co.,
CA-40,"184,651","193,734","13,008","391,393",47.18%,49.50%,3.32%,Trump,-2.30%,Leon Sit,politicsmaps
CA-41,"165,922","187,430","9,456","362,808",45.73%,51.66%,2.61%,Trump,-5.90%,Riverside Co.,
CA-42,"159,940","79,492","8,627","248,059",64.48%,32.05%,3.48%,Harris,32.40%,L.A. Co.,
CA-43,"162,845","53,435","7,169","223,449",72.88%,23.91%,3.21%,Harris,49.00%,L.A. Co.,
CA-44,"164,053","79,136","7,917","251,106",65.33%,31.51%,3.15%,Harris,33.80%,L.A. Co.,
CA-45,"159,879","154,900","9,584","324,363",49.29%,47.76%,2.95%,Harris,1.50%,Leon Sit,politicsmaps
CA-46,"125,174","86,462","6,726","218,362",57.32%,39.60%,3.08%,Harris,17.70%,Orange Co.,
CA-47,"182,428","167,325","12,709","362,462",50.33%,46.16%,3.51%,Harris,4.20%,Orange Co.,
CA-48,"152,884","209,800","9,170","371,854",41.11%,56.42%,2.47%,Trump,-15.30%,Leon Sit,politicsmaps
CA-49,"202,287","172,361","10,898","385,546",52.47%,44.71%,2.83%,Harris,7.80%,Drew Savicki,
CA-50,"234,873","124,867","12,502","372,242",63.10%,33.54%,3.36%,Harris,29.60%,Drew Savicki,
CA-51,"204,059","124,434","10,442","338,935",60.21%,36.71%,3.08%,Harris,23.50%,Drew Savicki,
CA-52,"159,494","102,478","7,128","269,100",59.27%,38.08%,2.65%,Harris,21.20%,Drew Savicki,
CO-01,"280,662","75,479","10,213","366,354",76.61%,20.60%,2.79%,Harris,56.00%,Graham Hillmann,gr_illmann
CO-02,"295,692","123,973","12,272","431,937",68.46%,28.70%,2.84%,Harris,39.80%,Alex Hilke,alexhilke
CO-03,"178,501","218,065","10,200","406,766",43.88%,53.61%,2.51%,Trump,-9.70%,Drew Savicki,drewsav
CO-04,"182,901","267,114","11,563","461,578",39.63%,57.87%,2.51%,Trump,-18.20%,Leon Sit,politicsmaps
CO-05,"165,522","199,615","10,336","375,473",44.08%,53.16%,2.75%,Trump,-9.10%,Leon Sit,politicsmaps
CO-06,"210,533","139,305","10,531","360,369",58.42%,38.66%,2.92%,Harris,19.80%,Leon Sit,politicsmaps
CO-07,"249,924","183,164","12,680","445,768",56.07%,41.09%,2.84%,Harris,15.00%,Leon Sit,politicsmaps
CO-08,"164,426","170,726","9,348","344,500",47.73%,49.56%,2.71%,Trump,-1.80%,Alex Hilke,alexhilke
CT-01,"208,405","129,726","5,839","343,970",60.59%,37.71%,1.70%,Harris,22.90%,Drew Savicki,drewsav
CT-02,"205,994","175,984","6,611","388,589",53.01%,45.29%,1.70%,Harris,7.70%,Drew Savicki,drewsav
CT-03,"191,831","143,737","6,710","342,278",56.05%,41.99%,1.96%,Harris,14.10%,Drew Savicki,drewsav
CT-04,"206,080","127,034","5,347","338,461",60.89%,37.53%,1.58%,Harris,23.40%,Drew Savicki,drewsav
CT-05,"179,743","160,437","5,532","345,712",51.99%,46.41%,1.60%,Harris,5.60%,Drew Savicki,drewsav
DE-AL,"289,758","214,351","7,588","511,697",56.63%,41.89%,1.48%,Harris,14.70%,Drew Savicki,drewsav
FL-01,"130,049","286,314","6,241","422,604",30.77%,67.75%,1.48%,Trump,-37.00%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-02,"166,211","240,957","5,776","412,944",40.25%,58.35%,1.40%,Trump,-18.10%,Matt Isbell and FL Pol Enjoyer,MappingFL
FL-03,"155,690","239,780","5,249","400,719",38.85%,59.84%,1.31%,Trump,-21.00%,Matt Isbell and FL Pol Enjoyer,MappingFL
