Fact,"Population estimates, July 1, 2024, (V2024)","Population estimates, July 1, 2023, (V2023)","Population estimates base, April 1, 2020, (V2024)","Population estimates base, April 1, 2020, (V2023)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black alone, percent (a)","American Indian and Alaska Native alone, percent (a)","Asian alone, percent (a)","Native Hawaiian and Other Pacific Islander alone, percent (a)","Two or More Races, percent","Hispanic or Latino, percent (b)","White alone, not Hispanic or Latino, percent","Veterans, 2019-2023","Foreign-born persons, percent, 2019-2023","Housing Units, July 1, 2023, (V2023)","Owner-occupied housing unit rate, 2019-2023","Median value of owner-occupied housing units, 2019-2023","Median selected monthly owner costs - with a mortgage, 2019-2023","Median selected monthly owner costs -without a mortage, 2019-2023","Median gross rent, 2019-2023","Building Permits, 2023","Households, 2019-2023","Persons per household, 2019-2023","Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","Households with a computer, percent, 2019-2023","Households with a broadband Internet subscription, percent, 2019-2023","High school graduate or higher, percent of persons age 25 years+, 2019-2023","Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","With a disability, under age 65 years, percent, 2019-2023","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2019-2023","In civilian labor force, female, percent of population age 16 years+, 2019-2023","Total accommodation and food services sales, 2022 ($1,000)","Total health care and social assistance receipts/revenue, 2022 ($1,000)","Total transportation and warehousing receipts/revenue, 2022 ($1,000)","Total retail sales, 2022 ($1,000)","Total retail sales per capita, 2022","Mean travel time to work (minutes), workers age 16 years+, 2019-2023","Median households income (in 2023 dollars), 2019-2023","Per capita income in past 12 months (in 2023 dollars), 2019-2023","Persons in poverty, percent","Total employer establishments, 2022","Total employment, 2022","Total annual payroll, 2022 ($1,000)","Total employment, percent change, 2021-2022","Total nonemployer establishments, 2022","All employer firms, Reference year 2022","Men-owned employer firms, Reference year 2022","Women-owned employer firms, Reference year 2022","Minority-owned employer firms, Reference year 2022","Nonminority-owned employer firms, Reference year 2022","Veteran-owned employer firms, Reference year 2022","Nonveteran-owned employer firms, Reference year 2022","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",FIPS Code,,NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,Value Notes,None,,Fact Notes,(a),(b),(c),,Value Flags,D,F,FN,,S,X,Z,-,N
Fact Note,,,,,,,,,,,,,,(a),(a),(a),(a),,(b),,,,,,,,,,,,,,,,,,,,,,,(c),(c),(c),(c),(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes persons reporting only one race,"Hispanics may be of any race, so also are included in applicable race categories",Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,Suppressed to avoid disclosure of confidential information,Fewer than 25 firms,Footnote on this item in place of data,Not available,Suppressed; does not meet publication standards,Not applicable,Value greater than zero but less than half unit of measure shown,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",Data for this geographic area cannot be displayed because the number of sample cases is too small.
New Jersey,"9,500,851","9,290,841","9,289,014","9,289,039",2.30%,Z,"9,288,994","8,791,894",5.60%,21.60%,17.70%,50.80%,70.40%,15.50%,0.80%,10.60%,0.10%,2.50%,22.70%,52.00%,"285,835",23.50%,"3,804,012",63.70%,"$427,600 ","$2,787 ","$1,205 ","$1,653 ","32,840","3,478,355",2.61,90.10%,32.70%,95.30%,91.80%,90.70%,42.90%,6.90%,8.50%,66.20%,61.40%,"31,189,464","96,064,339","44,934,981","208,629,891","$22,528 ",30.9,"$101,050 ","$53,118 ",9.70%,"237,499","3,813,702","275,696,056",6.80%,"856,771","185,417","121,731","38,988","50,317","124,286","6,127","169,340","1,263.00","1,195.50","7,354.76","7,354.22","""34""",,,,,,,,,,,,,,,,,,,,,
New Mexico,"2,130,256","2,114,371","2,117,555","2,117,525",0.60%,-0.10%,"2,117,522","2,059,179",5.10%,21.30%,19.80%,50.30%,80.70%,2.80%,11.40%,2.00%,0.20%,2.80%,48.60%,36.80%,"133,239",9.20%,"965,399",69.30%,"$232,200 ","$1,510 ",$439 ,"$1,021 ","8,511","825,021",2.51,87.80%,31.60%,92.40%,84.20%,87.70%,30.20%,11.80%,11.10%,56.90%,53.30%,"7,086,476","17,390,006","3,660,003","36,921,203","$17,469 ",23.2,"$62,125 ","$34,823 ",17.80%,"44,850","639,118","31,979,149",5.50%,"138,557","31,989","17,512","7,081","9,485","18,502","1,782","26,552",17.5,17,"121,312.75","121,298.15","""35""",,,,,,,,,,,,,,,,,,,,,
New York,"19,867,248","19,571,216","20,203,772","20,202,320",-1.70%,-3.10%,"20,201,249","19,378,102",5.30%,20.20%,18.60%,51.20%,68.50%,17.70%,1.10%,9.70%,0.10%,2.90%,19.80%,54.00%,"607,728",22.60%,"8,631,525",54.30%,"$403,000 ","$2,501 ",$927 ,"$1,576 ","48,807","7,668,956",2.51,89.90%,30.60%,94.00%,89.60%,87.90%,39.60%,8.10%,5.80%,62.80%,59.00%,"78,162,473","252,439,924","69,447,564","392,993,705","$19,976 ",32.8,"$84,578 ","$49,520 ",14.20%,"540,271","8,429,776","716,345,662",6.90%,"1,923,517","427,083","284,026","92,967","104,131","299,225","12,167","392,504",428.7,411.2,"47,123.59","47,126.40","""36""",,,,,,,,,,,,,,,,,,,,,
North Carolina,"11,046,024","10,835,491","10,441,499","10,439,459",5.80%,3.80%,"10,439,388","9,535,483",5.60%,21.60%,17.60%,51.10%,69.80%,22.10%,1.60%,3.70%,0.20%,2.70%,11.40%,60.70%,"618,846",8.70%,"4,979,204",66.40%,"$259,400 ","$1,561 ",$471 ,"$1,162 ","98,853","4,186,924",2.46,86.70%,13.00%,94.10%,88.60%,89.70%,34.70%,9.30%,11.00%,61.40%,57.60%,"33,830,655","96,614,431","28,645,522","209,284,704","$19,567 ",25.1,"$69,904 ","$39,616 ",12.80%,"254,636","4,106,761","240,894,189",5.20%,"914,586","178,429","107,443","39,917","30,114","137,277","10,797","154,299",214.7,196.1,"48,623.02","48,617.91","""37""",,,,,,,,,,,,,,,,,,,,,
North Dakota,"796,568","783,926","779,046","779,079",2.20%,0.60%,"779,094","672,591",6.30%,23.60%,17.00%,48.70%,86.40%,3.80%,5.30%,1.70%,0.20%,2.60%,4.90%,82.60%,"43,237",4.50%,"380,841",63.40%,"$241,100 ","$1,715 ",$577 ,$934 ,"2,618","325,079",2.31,83.60%,6.40%,94.10%,87.50%,93.80%,32.30%,8.20%,5.30%,67.80%,64.20%,"2,237,637","9,513,680","5,084,632","19,111,926","$24,537 ",18,"$75,949 ","$42,474 ",9.80%,"25,098","342,345","20,355,440",2.90%,"59,106","18,251","10,777","3,270",914,"15,303",855,"15,078",11.3,9.7,"68,995.86","69,000.80","""38""",,,,,,,,,,,,,,,,,,,,,
Minnesota,"5,793,151","5,737,915","5,706,692","5,706,804",1.50%,0.50%,"5,706,494","5,303,925",5.70%,22.70%,17.80%,49.90%,82.30%,7.90%,1.40%,5.50%,0.10%,2.90%,6.50%,76.90%,"267,133",8.60%,"2,575,411",72.40%,"$305,500 ","$1,890 ",$672 ,"$1,235 ","25,667","2,282,967",2.44,87.40%,12.20%,95.30%,90.70%,93.90%,38.80%,8.00%,5.00%,68.40%,64.90%,"16,896,884","63,326,593","25,461,406","134,656,010","$23,565 ",23.1,"$87,556 ","$46,957 ",9.30%,"154,314","2,732,522","177,625,553",4.00%,"442,345","110,242","67,395","22,395","10,334","91,455","5,600","95,321",71.7,66.6,"79,626.68","79,626.74","""27""",,,,,,,,,,,,,,,,,,,,,
Mississippi,"2,943,045","2,939,690","2,961,278","2,961,306",-0.60%,-0.70%,"2,961,279","2,967,297",5.90%,23.10%,17.60%,51.50%,58.70%,37.80%,0.70%,1.20%,0.10%,1.50%,3.90%,55.60%,"153,838",2.40%,"1,350,642",69.50%,"$161,400 ","$1,353 ",$418 ,$923 ,"7,700","1,131,760",2.52,88.80%,4.20%,91.40%,81.90%,86.60%,24.20%,12.60%,12.40%,56.60%,53.70%,"10,240,535","22,217,522","8,169,836","50,096,440","$17,046 ",25.6,"$54,915 ","$30,529 ",18.00%,"60,469","944,580","43,003,532",1.50%,"251,172","40,180","24,442","8,015","5,771","30,860","2,395","33,826",63.1,63.2,"46,923.96","46,923.27","""28""",,,,,,,,,,,,,,,,,,,,,
Missouri,"6,245,466","6,196,156","6,154,854","6,154,889",1.50%,0.70%,"6,154,913","5,988,927",5.70%,22.20%,18.30%,50.70%,82.40%,11.70%,0.60%,2.30%,0.20%,2.70%,5.30%,77.90%,"354,505",4.40%,"2,844,346",67.90%,"$215,600 ","$1,478 ",$528 ,$996 ,"16,781","2,484,834",2.42,86.90%,6.60%,94.00%,88.10%,91.60%,31.90%,10.50%,9.10%,62.70%,59.10%,"18,523,356","59,680,054","22,731,448","129,387,984","$20,946 ",23.7,"$68,920 ","$38,497 ",12.00%,"153,767","2,564,383","149,534,361",3.50%,"475,437","104,804","60,205","22,668","11,801","85,131","5,230","90,030",89.5,87.1,"68,746.48","68,741.52","""29""",,,,,,,,,,,,,,,,,,,,,
Montana,"1,137,233","1,132,812","1,084,216","1,084,244",4.90%,4.50%,"1,084,225","989,415",5.10%,20.80%,20.50%,49.30%,88.70%,0.60%,6.40%,1.10%,0.10%,3.10%,4.70%,85.10%,"81,663",2.30%,"535,500",69.40%,"$338,100 ","$1,736 ",$547 ,"$1,031 ","4,307","452,683",2.38,85.80%,4.20%,93.90%,88.20%,94.60%,34.50%,9.90%,10.50%,62.40%,59.10%,"4,321,331","11,075,124","3,002,242","24,144,772","$21,503 ",19.2,"$69,922 ","$39,842 ",11.70%,"42,015","398,871","20,101,686",4.90%,"105,934","33,035","17,574","6,836","1,443","28,707","1,812","27,825",7.4,6.8,"145,550.36","145,545.80","""30""",,,,,,,,,,,,,,,,,,,,,
Nebraska,"2,005,465","1,978,379","1,961,996","1,961,965",2.20%,0.80%,"1,961,504","1,826,341",6.30%,24.30%,17.20%,49.70%,87.30%,5.50%,1.70%,2.80%,0.10%,2.60%,12.90%,76.20%,"105,516",7.70%,"873,672",66.50%,"$223,800 ","$1,686 ",$651 ,"$1,035 ","8,877","786,885",2.44,86.40%,12.30%,94.60%,89.60%,92.10%,34.10%,8.40%,7.20%,68.40%,64.20%,"5,191,548","20,853,904","10,693,835","43,318,520","$22,011 ",19.1,"$74,985 ","$40,637 ",10.50%,"56,319","890,050","50,451,717",4.50%,"150,120","41,185","23,363","7,494","3,032","34,445","2,224","34,800",25.5,23.8,"76,817.87","76,824.17","""31""",,,,,,,,,,,,,,,,,,,,,
Nevada,"3,267,467","3,194,176","3,105,595","3,104,617",5.20%,2.90%,"3,104,614","2,700,551",5.40%,21.50%,17.40%,49.70%,71.50%,11.00%,1.70%,9.70%,0.90%,5.20%,29.90%,45.40%,"201,790",19.00%,"1,348,211",59.30%,"$406,100 ","$1,867 ",$520 ,"$1,489 ","18,451","1,183,393",2.62,85.00%,29.30%,96.10%,90.30%,87.40%,27.40%,9.30%,12.80%,62.60%,58.00%,"42,114,174","25,373,441","10,758,632","70,103,046","$22,063 ",24.8,"$75,561 ","$39,963 ",12.00%,"76,393","1,286,578","71,231,852",11.10%,"294,529","57,635","34,390","12,507","14,883","37,557","2,829","50,124",28.3,24.6,"109,860.46","109,781.18","""32""",,,,,,,,,,,,,,,,,,,,,
Kentucky,"4,588,372","4,526,154","4,506,302","4,506,297",1.80%,0.40%,"4,505,836","4,339,367",5.80%,22.50%,17.80%,50.40%,86.70%,8.80%,0.30%,1.80%,0.10%,2.30%,5.00%,82.40%,"235,118",4.40%,"2,036,728",68.30%,"$192,300 ","$1,393 ",$455 ,$933 ,"15,415","1,791,991",2.45,87.10%,6.40%,92.80%,87.20%,88.50%,27.00%,13.40%,6.50%,59.20%,55.40%,"11,656,465","43,231,092","18,580,730","88,306,628","$19,573 ",24,"$62,417 ","$34,960 ",16.40%,"93,549","1,667,694","86,111,636",3.10%,"328,057","61,481","37,305","12,412","6,179","50,421","2,837","52,920",114.1,109.9,"39,491.61","39,486.34","""21""",,,,,,,,,,,,,,,,,,,,,
Louisiana,"4,597,740","4,573,749","4,657,874","4,657,785",-1.30%,-1.80%,"4,657,757","4,533,372",6.10%,23.30%,17.40%,51.10%,62.60%,32.60%,0.90%,1.90%,0.10%,2.00%,7.30%,56.60%,"217,225",4.70%,"2,124,961",67.30%,"$208,700 ","$1,543 ",$418 ,"$1,038 ","14,247","1,783,168",2.52,88.10%,8.30%,92.30%,84.80%,86.90%,26.60%,11.80%,8.20%,58.80%,55.30%,"16,736,934","44,396,044","20,463,993","88,782,523","$19,351 ",25.8,"$60,023 ","$34,211 ",18.90%,"108,161","1,644,036","90,475,354",3.20%,"430,224","76,821","45,597","15,396","11,136","59,849","4,031","66,252",107.8,104.9,"43,210.23","43,203.90","""22""",,,,,,,,,,,,,,,,,,,,,
Maine,"1,405,012","1,395,722","1,363,196","1,363,177",3.10%,2.40%,"1,362,359","1,328,361",4.40%,17.80%,23.00%,50.70%,93.70%,2.10%,0.70%,1.40%,Z,2.00%,2.30%,91.80%,"97,871",3.90%,"758,815",74.00%,"$266,400 ","$1,657 ",$615 ,"$1,084 ","6,183","589,085",2.27,88.80%,6.00%,94.00%,88.90%,94.50%,35.30%,11.40%,7.50%,61.90%,58.80%,"5,173,608","15,847,310","2,756,874","34,415,647","$24,771 ",24.4,"$71,773 ","$42,035 ",10.40%,"43,185","533,151","29,597,269",5.60%,"125,923","32,898","19,497","6,522","1,291","28,647","1,734","27,711",44.2,43.1,"30,845.10","30,842.92","""23""",,,,,,,,,,,,,,,,,,,,,
Maryland,"6,263,220","6,180,253","6,181,629","6,177,253",1.30%,Z,"6,177,224","5,773,552",5.70%,22.00%,17.30%,51.40%,57.20%,31.60%,0.80%,7.10%,0.10%,3.30%,12.60%,47.30%,"332,655",16.30%,"2,572,412",67.50%,"$397,700 ","$2,301 ",$728 ,"$1,662 ","18,453","2,339,510",2.58,88.30%,20.60%,96.00%,91.50%,91.00%,42.70%,7.90%,7.40%,66.50%,62.80%,"20,916,724","64,555,492","12,983,437","115,211,858","$18,691 ",31.5,"$101,652 ","$51,689 ",9.50%,"142,481","2,436,501","159,490,571",6.70%,"586,327","104,151","63,745","24,360","30,011","66,549","5,747","90,504",636.1,594.8,"9,711.20","9,707.24","""24""",,,,,,,,,,,,,,,,,,,,,
Massachusetts,"7,136,171","7,001,399","7,033,132","7,032,933",1.50%,-0.40%,"7,029,917","6,547,629",4.90%,19.20%,18.50%,51.10%,79.00%,9.60%,0.60%,7.90%,0.10%,2.80%,13.50%,68.80%,"253,731",17.70%,"3,045,948",62.60%,"$525,800 ","$2,659 ","$1,001 ","$1,687 ","13,214","2,762,070",2.45,88.00%,24.80%,95.10%,91.80%,91.40%,46.60%,8.30%,3.00%,67.10%,63.60%,"28,679,963","98,329,081","18,712,723","153,190,723","$21,938 ",29.3,"$101,341 ","$56,284 ",10.40%,"182,919","3,396,919","287,176,143",7.00%,"612,132","136,712","88,954","27,549","19,942","106,917","4,694","121,659",901.2,839.4,"7,800.96","7,800.06","""25""",,,,,,,,,,,,,,,,,,,,,
Michigan,"10,140,459","10,037,261","10,079,338","10,077,674",0.60%,-0.40%,"10,077,331","9,883,640",5.30%,21.00%,19.20%,50.40%,78.70%,14.10%,0.80%,3.60%,Z,2.80%,6.00%,73.70%,"479,115",7.00%,"4,643,473",72.90%,"$217,600 ","$1,521 ",$587 ,"$1,084 ","20,592","4,040,168",2.43,88.40%,10.20%,94.40%,89.30%,91.90%,31.80%,10.30%,5.50%,61.30%,57.30%,"28,012,061","94,603,501","35,592,313","190,534,346","$18,990 ",24.4,"$71,149 ","$39,538 ",13.50%,"227,870","3,939,076","232,710,964",4.50%,"809,426","163,220","106,444","31,497","16,643","136,115","5,465","146,553",178,174.8,"56,608.22","56,538.90","""26""",,,,,,,,,,,,,,,,,,,,,
Hawaii,"1,446,146","1,435,138","1,455,252","1,455,274",-0.60%,-1.40%,"1,455,271","1,360,301",5.40%,20.50%,21.10%,49.80%,25.20%,2.20%,0.40%,37.30%,10.30%,24.60%,10.10%,21.50%,"89,042",18.10%,"572,063",62.60%,"$808,200 ","$2,863 ",$660 ,"$1,938 ","3,791","488,991",2.88,87.40%,25.10%,95.40%,91.00%,92.90%,35.50%,7.40%,4.00%,59.80%,58.70%,"12,833,627","12,117,875","7,875,883","30,735,956","$21,353 ",26.4,"$98,317 ","$44,823 ",10.10%,"32,863","507,390","28,145,945",8.10%,"119,647","23,069","12,465","5,455","12,730","7,449",977,"19,607",226.6,211.8,"6,422.48","6,422.63","""15""",,,,,,,,,,,,,,,,,,,,,
Idaho,"2,001,619","1,964,726","1,839,140","1,839,117",8.80%,6.80%,"1,839,106","1,567,582",5.80%,23.80%,17.40%,49.70%,92.50%,1.00%,1.70%,1.70%,0.20%,2.80%,13.80%,80.30%,"117,609",5.70%,"815,293",72.40%,"$376,000 ","$1,610 ",$474 ,"$1,150 ","17,919","693,821",2.66,84.40%,10.70%,95.90%,91.00%,91.70%,31.20%,9.80%,10.60%,62.70%,57.20%,"5,223,656","15,920,372","4,802,084","40,607,614","$20,943 ",21.6,"$74,636 ","$37,169 ",10.10%,"57,209","689,589","36,567,889",6.90%,"160,914","44,406","24,157","8,111","3,944","36,871","1,993","38,362",22.3,19,"82,645.14","82,643.12","""16""",,,,,,,,,,,,,,,,,,,,,
Illinois,"12,710,158","12,549,689","12,821,814","12,813,469",-0.90%,-2.10%,"12,812,508","12,830,632",5.30%,21.60%,17.60%,50.60%,76.00%,14.60%,0.60%,6.30%,0.10%,2.30%,19.00%,58.80%,"493,667",14.40%,"5,471,027",66.80%,"$250,500 ","$1,950 ",$767 ,"$1,227 ","16,863","5,001,904",2.48,88.50%,23.80%,94.40%,89.40%,90.30%,37.20%,8.00%,7.30%,64.90%,60.60%,"41,754,998","125,256,366","73,661,560","244,721,614","$19,449 ",28.1,"$81,702 ","$45,104 ",11.60%,"322,349","5,533,883","383,875,437",5.00%,"1,100,655","239,318","153,281","52,121","48,274","176,697","8,211","216,103",230.8,231.1,"55,513.18","55,518.93","""17""",,,,,,,,,,,,,,,,,,,,,
Indiana,"6,924,275","6,862,199","6,786,587","6,785,442",2.00%,1.10%,"6,785,528","6,483,802",5.90%,23.10%,17.20%,50.40%,83.70%,10.40%,0.50%,2.90%,0.10%,2.50%,8.80%,76.00%,"338,153",5.90%,"3,002,605",70.40%,"$201,600 ","$1,355 ",$498 ,"$1,020 ","27,055","2,681,537",2.47,86.90%,9.80%,93.60%,88.30%,90.20%,28.80%,10.10%,8.20%,63.90%,59.20%,"18,917,654","66,586,781","27,233,207","155,578,217","$22,771 ",24,"$70,051 ","$37,178 ",12.30%,"153,748","2,875,908","158,017,872",4.40%,"480,921","103,303","63,919","20,251","11,766","84,049","5,338","89,752",189.4,181,"35,826.03","35,826.11","""18""",,,,,,,,,,,,,,,,,,,,,
Iowa,"3,241,488","3,207,004","3,190,546","3,190,427",1.60%,0.50%,"3,190,369","3,046,355",5.80%,22.80%,18.60%,49.90%,89.60%,4.50%,0.60%,2.70%,0.30%,2.20%,7.40%,83.10%,"166,552",5.70%,"1,449,340",71.50%,"$195,900 ","$1,494 ",$599 ,$949 ,"11,230","1,303,763",2.38,86.80%,8.90%,93.70%,87.50%,93.20%,30.90%,8.70%,6.00%,66.40%,62.40%,"8,918,895","28,721,347","14,691,935","67,256,410","$21,020 ",19.8,"$73,147 ","$39,728 ",11.30%,"83,560","1,386,299","74,805,280",2.50%,"228,133","57,877","34,165","10,688","3,317","49,362","2,887","49,071",57.1,54.5,"55,853.42","55,857.13","""19""",,,,,,,,,,,,,,,,,,,,,
Kansas,"2,970,606","2,940,546","2,937,745","2,937,835",1.10%,0.10%,"2,937,880","2,853,118",6.00%,23.60%,17.50%,49.90%,85.90%,6.20%,1.30%,3.20%,0.20%,3.30%,13.70%,73.70%,"154,967",7.20%,"1,300,712",66.90%,"$203,400 ","$1,638 ",$618 ,"$1,029 ","9,504","1,160,715",2.46,85.20%,12.10%,95.00%,89.30%,91.90%,35.20%,9.70%,9.90%,65.40%,61.40%,"7,618,424","26,870,804","11,388,882","51,495,728","$17,535 ",19.8,"$72,639 ","$39,638 ",11.20%,"75,991","1,225,232","67,832,396",3.10%,"217,018","52,920","30,135","10,492","6,017","41,643","2,412","44,836",35.9,34.9,"81,758.59","81,758.72","""20""",,,,,,,,,,,,,,,,,,,,,
Colorado,"5,957,493","5,877,610","5,775,324","5,773,707",3.20%,1.80%,"5,773,714","5,029,196",5.30%,20.70%,16.00%,49.40%,86.00%,4.80%,1.70%,3.80%,0.20%,3.50%,22.70%,66.10%,"348,913",9.60%,"2,638,724",66.30%,"$502,200 ","$2,231 ",$624 ,"$1,693 ","39,404","2,325,576",2.45,83.40%,16.10%,96.80%,92.80%,92.80%,44.70%,7.90%,7.90%,67.70%,63.50%,"26,052,155","52,722,035","24,917,676","120,881,315","$20,695 ",25.5,"$92,470 ","$50,489 ",9.30%,"181,963","2,481,196","169,057,790",2.70%,"583,986","140,676","81,281","34,796","20,019","110,261","7,631","123,091",55.7,48.5,"103,637.06","103,641.89","""08""",,,,,,,,,,,,,,,,,,,,,
Connecticut,"3,675,069","3,617,176","3,607,701","3,605,912",1.90%,0.30%,"3,605,944","3,574,097",5.00%,20.00%,19.10%,51.00%,78.00%,13.10%,0.80%,5.20%,0.10%,2.80%,18.60%,63.30%,"140,081",15.40%,"1,546,032",66.20%,"$343,200 ","$2,383 ","$1,052 ","$1,431 ","6,272","1,420,170",2.47,88.90%,23.00%,94.80%,91.10%,91.30%,41.90%,8.40%,6.90%,65.80%,61.80%,"12,385,868","45,537,226","7,998,394","72,459,098","$20,079 ",26.6,"$93,760 ","$54,409 ",10.30%,"89,293","1,508,634","112,497,475",4.60%,"312,711","65,594","42,710","12,321","11,324","48,443","2,641","56,929",744.7,738.1,"4,842.37","4,842.36","""09""",,,,,,,,,,,,,,,,,,,,,
Delaware,"1,051,917","1,031,890","989,955","989,946",6.30%,4.20%,"989,948","897,934",5.30%,20.50%,21.30%,51.60%,67.60%,24.10%,0.70%,4.40%,0.10%,3.10%,11.10%,58.90%,"61,582",10.40%,"471,458",72.30%,"$326,800 ","$1,782 ",$540 ,"$1,341 ","5,765","396,209",2.48,88.80%,14.80%,95.60%,91.40%,91.40%,35.30%,9.90%,8.00%,61.80%,58.50%,"3,350,255","11,972,722","2,042,199","24,220,761","$23,758 ",26.1,"$82,855 ","$44,219 ",10.50%,"29,195","424,303","28,639,674",3.80%,"88,530","22,226","13,715","4,385","4,525","15,291",958,"18,720",508,460.8,"1,948.55","1,948.54","""10""",,,,,,,,,,,,,,,,,,,,,
District of Columbia,"702,250","678,972","689,545","689,548",1.80%,-1.50%,"689,545","601,723",5.70%,18.60%,13.10%,52.60%,46.60%,44.40%,0.70%,4.90%,0.20%,3.30%,12.00%,37.70%,"20,481",13.30%,"367,147",41.10%,"$724,600 ","$3,062 ",$856 ,"$1,900 ","3,020","321,556",1.99,80.60%,18.00%,96.00%,90.20%,92.80%,63.60%,7.90%,3.00%,71.40%,69.70%,"7,075,654","14,349,578","2,470,280","7,707,785","$11,488 ",30.3,"$106,287 ","$75,253 ",14.00%,"23,874","527,355","52,216,924",9.10%,"65,130","15,253","7,730","3,547","4,532","7,418",530,"11,536","11,280.70","9,856.50",61.13,61.05,"""11""",,,,,,,,,,,,,,,,,,,,,
Florida,"23,372,215","22,610,726","21,538,192","21,538,216",8.50%,5.00%,"21,538,187","18,801,310",5.00%,19.40%,21.70%,50.90%,76.70%,16.90%,0.60%,3.20%,0.10%,2.50%,27.40%,51.90%,"1,347,330",21.40%,"10,451,818",67.30%,"$325,000 ","$1,860 ",$629 ,"$1,564 ","193,788","8,550,911",2.51,86.00%,30.10%,96.00%,90.20%,89.60%,33.20%,8.80%,13.40%,59.20%,55.00%,"94,559,362","211,744,080","98,048,310","484,218,148","$21,767 ",28,"$71,711 ","$41,055 ",12.30%,"633,353","9,628,867","556,430,324",8.50%,"2,968,201","487,617","295,466","115,979","146,054","316,983","23,793","440,163",401.4,350.6,"53,652.17","53,624.76","""12""",,,,,,,,,,,,,,,,,,,,,
Georgia,"11,180,878","11,029,227","10,713,755","10,713,771",4.40%,2.90%,"10,711,908","9,687,653",5.80%,23.00%,15.40%,51.30%,58.70%,33.20%,0.60%,4.90%,0.10%,2.50%,11.10%,49.60%,"608,876",10.80%,"4,610,567",65.40%,"$272,900 ","$1,712 ",$518 ,"$1,306 ","63,621","4,008,013",2.64,86.80%,15.00%,95.00%,89.40%,89.00%,34.20%,9.30%,13.30%,63.00%,59.00%,"36,524,926","95,053,842","55,684,552","216,836,912","$19,869 ",28.3,"$74,664 ","$39,525 ",13.60%,"258,377","4,249,362","260,014,888",5.30%,"1,175,541","187,538","117,497","44,187","52,089","124,488","10,394","165,015",185.6,168.4,"57,716.96","57,513.49","""13""",,,,,,,,,,,,,,,,,,,,,
Washington,"7,958,180","7,812,880","7,707,586","7,705,267",3.30%,1.40%,"7,705,281","6,724,540",5.40%,21.10%,17.10%,49.60%,76.30%,4.70%,2.00%,10.80%,0.90%,5.40%,14.60%,64.20%,"486,714",15.10%,"3,361,615",63.90%,"$519,800 ","$2,358 ",$740 ,"$1,682 ","37,097","3,020,558",2.51,84.90%,21.00%,96.70%,93.00%,92.20%,38.80%,9.30%,7.40%,63.60%,58.90%,"26,364,447","75,395,248","30,246,405","242,905,745","$31,204 ",27,"$94,952 ","$51,493 ",10.30%,"202,005","2,978,277","241,782,080",5.60%,"533,681","152,437","81,954","35,273","31,980","108,412","7,153","133,394",115.9,101.2,"66,455.12","66,455.52","""53""",,,,,,,,,,,,,,,,,,,,,
West Virginia,"1,769,979","1,770,071","1,793,736","1,793,713",-1.30%,-1.30%,"1,793,716","1,852,994",4.90%,19.90%,21.50%,50.10%,92.80%,3.80%,0.30%,0.90%,Z,2.10%,2.20%,90.90%,"109,457",1.70%,"863,745",74.30%,"$155,600 ","$1,225 ",$385 ,$850 ,"4,014","721,448",2.4,89.20%,2.50%,90.10%,84.40%,88.60%,23.30%,13.80%,7.50%,53.50%,49.90%,"4,723,330","18,934,220","3,692,949","30,058,548","$16,944 ",26.6,"$57,917 ","$32,949 ",16.70%,"35,530","540,468","26,501,437",4.10%,"93,669","22,550","13,504","4,185","1,266","18,793","1,206","18,470",74.6,77.1,"24,041.15","24,038.21","""54""",,,,,,,,,,,,,,,,,,,,,
Wisconsin,"5,960,975","5,910,955","5,894,170","5,893,713",1.10%,0.30%,"5,893,718","5,686,986",5.30%,21.10%,19.10%,49.90%,86.40%,6.60%,1.20%,3.30%,0.10%,2.30%,8.10%,79.50%,"296,513",5.10%,"2,787,556",67.90%,"$247,400 ","$1,652 ",$647 ,"$1,045 ","21,494","2,446,028",2.35,87.80%,8.80%,94.00%,89.20%,93.40%,32.80%,8.50%,5.90%,65.40%,62.00%,"16,626,749","65,814,972","20,718,535","121,958,764","$20,704 ",22.2,"$75,670 ","$42,019 ",10.70%,"144,443","2,600,303","153,219,064",3.20%,"389,776","101,816","60,996","19,047","8,814","84,731","4,841","87,345",108.8,105,"54,167.14","54,157.80","""55""",,,,,,,,,,,,,,,,,,,,,
