state_name,state_code,county_name,population,total_votes,_merge
Alabama,AL,Shelby County,233000.0,114043.0,both
Alabama,AL,St. Clair County,95552.0,43440.0,both
Alabama,AL,Sumter County,11727.0,5297.0,both
Alabama,AL,Talladega County,81132.0,33175.0,both
Alabama,AL,Tallapoosa County,40677.0,19980.0,both
Alabama,AL,Tuscaloosa County,237373.0,84879.0,both
Alabama,AL,Walker County,64728.0,29747.0,both
Alabama,AL,Washington County,15022.0,8430.0,both
Alabama,AL,Wilcox County,9944.0,5260.0,both
Alabama,AL,Winston County,23611.0,11129.0,both
Arkansas,AR,Arkansas County,16307.0,5547.0,both
Arkansas,AR,Ashley County,18262.0,7030.0,both
Arkansas,AR,Baxter County,42875.0,20954.0,both
Arkansas,AR,Benton County,311013.0,128595.0,both
Arkansas,AR,Boone County,38530.0,17112.0,both
Arkansas,AR,Bradley County,10104.0,3209.0,both
Arkansas,AR,Calhoun County,4641.0,2092.0,both
Arkansas,AR,Carroll County,28814.0,11538.0,both
Arkansas,AR,Chicot County,9538.0,3490.0,both
Arkansas,AR,Clark County,21274.0,7657.0,both
Arkansas,AR,Clay County,14201.0,4967.0,both
Arkansas,AR,Cleburne County,25445.0,12739.0,both
Arkansas,AR,Cleveland County,7378.0,3374.0,both
Arkansas,AR,Columbia County,22150.0,7940.0,both
Arkansas,AR,Conway County,21077.0,8541.0,both
Arkansas,AR,Craighead County,113993.0,37242.0,both
Arkansas,AR,Crawford County,61891.0,23834.0,both
Arkansas,AR,Crittenden County,47139.0,14681.0,both
Arkansas,AR,Cross County,16420.0,6534.0,both
Arkansas,AR,Dallas County,6185.0,2324.0,both
Arkansas,AR,Desha County,10479.0,3505.0,both
Arkansas,AR,Drew County,16945.0,6365.0,both
Arkansas,AR,Faulkner County,129951.0,54465.0,both
Arkansas,AR,Franklin County,17468.0,6971.0,both
Arkansas,AR,Fulton County,12421.0,5043.0,both
Arkansas,AR,Garland County,99784.0,42327.0,both
Arkansas,AR,Grant County,18383.0,8078.0,both
Arkansas,AR,Greene County,46743.0,15820.0,both
Arkansas,AR,Hempstead County,19343.0,6089.0,both
Arkansas,AR,Hot Spring County,33258.0,12283.0,both
Arkansas,AR,Howard County,12533.0,4473.0,both
Arkansas,AR,Independence County,38320.0,14011.0,both
Arkansas,AR,Izard County,14169.0,5925.0,both
Arkansas,AR,Jackson County,16784.0,4775.0,both
Arkansas,AR,Jefferson County,63661.0,21608.0,both
Arkansas,AR,Johnson County,26129.0,9059.0,both
Arkansas,AR,Lafayette County,6095.0,2325.0,both
Arkansas,AR,Lawrence County,16318.0,5692.0,both
Arkansas,AR,Lee County,8201.0,2520.0,both
Arkansas,AR,Lincoln County,12898.0,3372.0,both
Arkansas,AR,Little River County,11805.0,4899.0,both
Arkansas,AR,Logan County,21400.0,8205.0,both
Arkansas,AR,Lonoke County,75944.0,30620.0,both
Arkansas,AR,Madison County,17775.0,7501.0,both
Arkansas,AR,Marion County,17514.0,7851.0,both
Arkansas,AR,Miller County,42415.0,15803.0,both
Arkansas,AR,Mississippi County,38663.0,10717.0,both
Arkansas,AR,Monroe County,6512.0,2433.0,both
Arkansas,AR,Montgomery County,8620.0,3707.0,both
Arkansas,AR,Nevada County,8120.0,2907.0,both
Arkansas,AR,Newton County,7071.0,3770.0,both
Arkansas,AR,Ouachita County,21793.0,8626.0,both
Arkansas,AR,Perry County,10184.0,4584.0,both
Arkansas,AR,Phillips County,14961.0,4938.0,both
Arkansas,AR,Pike County,10208.0,4358.0,both
Arkansas,AR,Poinsett County,22397.0,7079.0,both
Arkansas,AR,Polk County,19436.0,8288.0,both
Arkansas,AR,Pope County,64593.0,24191.0,both
Arkansas,AR,Prairie County,8036.0,3200.0,both
Arkansas,AR,Pulaski County,400009.0,153924.0,both
Arkansas,AR,Randolph County,18907.0,6636.0,both
Arkansas,AR,Saline County,129574.0,57609.0,both
Arkansas,AR,Scott County,9851.0,3384.0,both
Arkansas,AR,Searcy County,7806.0,3869.0,both
Arkansas,AR,Sebastian County,129098.0,45452.0,both
Arkansas,AR,Sevier County,15632.0,4714.0,both
Arkansas,AR,Sharp County,17968.0,7437.0,both
Arkansas,AR,St. Francis County,22101.0,5979.0,both
Arkansas,AR,Stone County,12671.0,6030.0,both
Arkansas,AR,Union County,37397.0,15448.0,both
Arkansas,AR,Van Buren County,16142.0,7621.0,both
Arkansas,AR,Washington County,261549.0,97158.0,both
Arkansas,AR,White County,78452.0,30837.0,both
Arkansas,AR,Woodruff County,5964.0,2318.0,both
Arkansas,AR,Yell County,20044.0,6477.0,both
Arizona,AZ,Apache County,65036.0,32019.0,both
Arizona,AZ,Cochise County,124640.0,58923.0,both
Arizona,AZ,Coconino County,144472.0,70067.0,both
Arizona,AZ,Gila County,54003.0,27648.0,both
Arizona,AZ,Graham County,39525.0,15183.0,both
Arizona,AZ,Greenlee County,9369.0,3308.0,both
Arizona,AZ,La Paz County,16710.0,7624.0,both
Arizona,AZ,Maricopa County,4585871.0,2053945.0,both
Arizona,AZ,Mohave County,223682.0,110450.0,both
Arizona,AZ,Navajo County,109175.0,50706.0,both
Arizona,AZ,Pima County,1063162.0,513176.0,both
Arizona,AZ,Pinal County,484239.0,209552.0,both
Arizona,AZ,Santa Cruz County,49158.0,19121.0,both
Arizona,AZ,Yavapai County,249081.0,149402.0,both
Arizona,AZ,Yuma County,213221.0,68195.0,both
California,CA,Alameda County,1622188.0,669800.0,both
California,CA,Alpine County,1141.0,738.0,both
California,CA,Amador County,41811.0,22402.0,both
California,CA,Butte County,207172.0,94523.0,both
California,CA,Calaveras County,46565.0,26479.0,both
California,CA,Colusa County,22037.0,7021.0,both
California,CA,Contra Costa County,1155025.0,528904.0,both
California,CA,Del Norte County,26589.0,10564.0,both
California,CA,El Dorado County,192215.0,111890.0,both
California,CA,Fresno County,1017162.0,325994.0,both
California,CA,Glenn County,28129.0,10442.0,both
California,CA,Humboldt County,133985.0,64228.0,both
California,CA,Imperial County,179057.0,54025.0,both
California,CA,Inyo County,18527.0,8951.0,both
California,CA,Kern County,913820.0,283246.0,both
California,CA,Kings County,152682.0,41501.0,both
California,CA,Lake County,67878.0,26759.0,both
California,CA,Lassen County,28861.0,11371.0,both
California,CA,Los Angeles County,9663345.0,3728427.0,both
California,CA,Madera County,162858.0,54624.0,both
California,CA,Marin County,254407.0,144113.0,both
California,CA,Mariposa County,16919.0,9509.0,both
California,CA,Mendocino County,89108.0,39216.0,both
California,CA,Merced County,291920.0,86392.0,both
California,CA,Modoc County,8500.0,4016.0,both
California,CA,Mono County,13066.0,6064.0,both
California,CA,Monterey County,430723.0,146718.0,both
California,CA,Napa County,133216.0,65549.0,both
California,CA,Nevada County,102037.0,62132.0,both
California,CA,Orange County,3135755.0,1390965.0,both
California,CA,Placer County,423561.0,234809.0,both
California,CA,Plumas County,19131.0,10067.0,both
California,CA,Riverside County,2492442.0,940405.0,both
California,CA,Sacramento County,1584288.0,656626.0,both
California,CA,San Benito County,68175.0,27649.0,both
California,CA,San Bernardino County,2195611.0,761714.0,both
California,CA,San Diego County,3269973.0,1477786.0,both
California,CA,San Francisco County,808988.0,402964.0,both
California,CA,San Joaquin County,800965.0,263671.0,both
California,CA,San Luis Obispo County,281639.0,150766.0,both
California,CA,San Mateo County,726353.0,330510.0,both
California,CA,Santa Barbara County,441257.0,184715.0,both
California,CA,Santa Clara County,1877592.0,750433.0,both
California,CA,Santa Cruz County,261547.0,134135.0,both
California,CA,Shasta County,180366.0,88900.0,both
California,CA,Sierra County,3200.0,1754.0,both
California,CA,Siskiyou County,42905.0,21489.0,both
California,CA,Solano County,449218.0,189834.0,both
California,CA,Sonoma County,481812.0,251426.0,both
California,CA,Stanislaus County,551430.0,197472.0,both
California,CA,Sutter County,97948.0,39336.0,both
California,CA,Tehama County,64896.0,26532.0,both
California,CA,Trinity County,15670.0,5645.0,both
California,CA,Tulare County,479468.0,138271.0,both
California,CA,Tuolumne County,54204.0,28810.0,both
California,CA,Ventura County,829590.0,387595.0,both
California,CA,Yolo County,220544.0,92589.0,both
California,CA,Yuba County,85722.0,30070.0,both
Colorado,CO,Adams County,533365.0,233336.0,both
Colorado,CO,Alamosa County,16655.0,7519.0,both
Colorado,CO,Arapahoe County,656061.0,325451.0,both
