state_name,population,college_educated_percent,households_total,households_median_income,poverty_percent,age_under_18_percent,age_under_5_percent,age_over_65_percent,female_percent,white_percent,black_percent,native_americans_percent,asian_percent,hawaiian_pacificislander_percent,two_or_more_races_percent,hispanic_percent,white_not_hispanic_percent,veterans,foreign_born_persons,fips_code,state_code,diff_percent,_merge
New Hampshire,1409032.0,39.8,551186.0,95628.0,7.2,18.0,4.5,20.8,50.1,92.5,2.1,0.3,3.1,0.1,1.9,4.8,88.5,89294.0,6.2,"""33""",NH,-2.780000000000001,both
New Jersey,9500851.0,42.9,3478355.0,101050.0,9.7,21.6,5.6,17.7,50.8,70.4,15.5,0.8,10.6,0.1,2.5,22.7,52.0,285835.0,23.5,"""34""",NJ,-5.909999999999997,both
New Mexico,2130256.0,30.2,825021.0,62125.0,17.8,21.3,5.1,19.8,50.3,80.7,2.8,11.4,2.0,0.2,2.8,48.6,36.8,133239.0,9.2,"""35""",NM,-6.0,both
New York,19867248.0,39.6,7668956.0,84578.0,14.2,20.2,5.3,18.6,51.2,68.5,17.7,1.1,9.7,0.1,2.9,19.8,54.0,607728.0,22.6,"""36""",NY,-12.599999999999994,both
North Carolina,11046024.0,34.7,4186924.0,69904.0,12.8,21.6,5.6,17.6,51.1,69.8,22.1,1.6,3.7,0.2,2.7,11.4,60.7,618846.0,8.7,"""37""",NC,3.210000000000001,both
North Dakota,796568.0,32.3,325079.0,75949.0,9.8,23.6,6.3,17.0,48.7,86.4,3.8,5.3,1.7,0.2,2.6,4.9,82.6,43237.0,4.5,"""38""",ND,36.44999999999999,both
Ohio,11883304.0,30.9,4829571.0,69680.0,13.3,21.9,5.6,18.7,50.7,80.6,13.4,0.3,2.8,0.1,2.7,4.8,76.7,626617.0,5.0,"""39""",OH,11.21,both
Oklahoma,4095393.0,27.8,1542780.0,63603.0,15.9,23.8,6.0,16.6,50.3,72.9,7.9,9.5,2.6,0.3,6.8,12.9,62.6,247634.0,6.3,"""40""",OK,34.26,both
Oregon,4272371.0,36.2,1701548.0,80426.0,12.2,19.6,4.8,19.6,50.2,85.6,2.4,1.9,5.2,0.5,4.4,14.9,72.8,252530.0,9.7,"""41""",OR,-14.300000000000004,both
Pennsylvania,13078751.0,34.5,5235339.0,76081.0,12.0,20.3,5.1,20.0,50.7,80.6,12.3,0.5,4.2,0.1,2.4,8.9,74.1,656112.0,7.4,"""42""",PA,1.7100000000000009,both
Rhode Island,1112308.0,37.3,436902.0,86372.0,10.8,18.6,4.8,19.3,51.0,82.4,9.3,1.3,3.7,0.2,3.1,18.0,69.2,47214.0,14.8,"""44""",RI,-13.780000000000001,both
South Carolina,5478831.0,31.5,2070390.0,66818.0,13.9,21.3,5.4,19.3,51.4,69.0,26.0,0.6,2.0,0.1,2.3,7.5,62.9,344530.0,5.6,"""45""",SC,17.869999999999997,both
South Dakota,924669.0,31.1,358552.0,72421.0,11.8,24.1,6.3,18.4,49.2,84.2,2.6,8.5,1.8,0.1,2.8,5.1,80.5,54527.0,3.9,"""46""",SD,29.189999999999998,both
Tennessee,7227750.0,30.4,2768743.0,67097.0,14.0,22.0,5.8,17.4,51.0,78.4,16.5,0.6,2.1,0.1,2.3,7.5,72.0,406307.0,5.9,"""47""",TN,29.72,both
Texas,31290831.0,33.1,10747240.0,76292.0,13.7,24.8,6.3,13.7,50.1,76.8,13.6,1.1,6.0,0.2,2.3,39.8,39.6,1408009.0,17.2,"""48""",TX,13.68,both
United States,340110988.0,35.0,127482865.0,78538.0,11.1,21.7,5.5,17.7,50.5,75.3,13.7,1.3,6.4,0.3,3.1,19.5,58.4,16569149.0,13.9,"""1""",US,1.4799999999999969,both
Utah,3503613.0,36.9,1094896.0,91750.0,9.0,27.3,6.8,12.2,49.3,89.8,1.6,1.6,2.9,1.2,3.0,16.0,75.7,113093.0,8.6,"""49""",UT,21.590000000000003,both
Vermont,648493.0,42.6,269466.0,78024.0,9.7,17.7,4.2,22.1,50.4,93.6,1.6,0.4,2.1,0.0,2.2,2.6,91.5,34076.0,4.3,"""50""",VT,-31.509999999999998,both
Virginia,8811195.0,41.5,3326260.0,90974.0,10.2,21.6,5.6,17.2,50.6,68.3,20.0,0.6,7.4,0.1,3.5,11.2,59.1,637971.0,12.9,"""51""",VA,-5.759999999999998,both
Washington,7958180.0,38.8,3020558.0,94952.0,10.3,21.1,5.4,17.1,49.6,76.3,4.7,2.0,10.8,0.9,5.4,14.6,64.2,486714.0,15.1,"""53""",WA,-18.22,both
West Virginia,1769979.0,23.3,721448.0,57917.0,16.7,19.9,4.9,21.5,50.1,92.8,3.8,0.3,0.9,0.0,2.1,2.2,90.9,109457.0,1.7,"""54""",WV,41.87,both
Wisconsin,5960975.0,32.8,2446028.0,75670.0,10.7,21.1,5.3,19.1,49.9,86.4,6.6,1.2,3.3,0.1,2.3,8.1,79.5,296513.0,5.1,"""55""",WI,0.8599999999999994,both
Wyoming,587618.0,29.9,238176.0,74815.0,11.3,22.2,5.3,19.2,48.8,92.3,1.2,2.8,1.2,0.1,2.4,10.8,83.1,40952.0,3.5,"""56""",WY,45.75999999999999,both
