state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,_merge
Georgia,GA,Burke County,24438.0,11070.0,0.45298305917014486,2423,9097,81112,50739,5850,85643,57594,both
Georgia,GA,Butts County,26887.0,13019.0,0.4842117008219586,2572,8751,77092,59221,6642,87405,73793,both
Georgia,GA,Calhoun County,5457.0,2056.0,0.3767637896280007,528,1508,69405,55714,1008,81862,65921,both
Georgia,GA,Camden County,58118.0,26393.0,0.45412780894043153,8467,21024,85169,72399,15046,92768,80200,both
Georgia,GA,Candler County,11059.0,4568.0,0.41305723844832265,1070,4183,67496,50431,2770,82614,69191,both
Georgia,GA,Carroll County,127098.0,60494.0,0.4759634297943319,18387,43598,87579,72327,31118,98615,85249,both
Georgia,GA,Catoosa County,68910.0,35038.0,0.5084603105499927,12129,26139,90614,72425,18789,103139,84256,both
Georgia,GA,Charlton County,12934.0,4628.0,0.35781660739137156,994,4086,67272,48534,2665,76846,55139,both
Georgia,GA,Chatham County,303655.0,141109.0,0.4647017174095602,78942,119241,95384,69575,71634,114306,85265,both
Georgia,GA,Chattahoochee County,8661.0,1694.0,0.19558942385405842,1240,1897,69011,59221,1443,73358,58294,both
Georgia,GA,Chattooga County,25222.0,10706.0,0.4244707001823805,1962,9142,59859,47785,5991,70546,56615,both
