state_code,county_name,population,total_votes,turnout
AR,Independence County,38320.0,14011.0,0.36563152400835075
AR,Izard County,14169.0,5925.0,0.41816641964852846
AR,Jackson County,16784.0,4775.0,0.28449714013346045
AR,Jefferson County,63661.0,21608.0,0.339422880570522
AR,Johnson County,26129.0,9059.0,0.3467028971640706
AR,Lafayette County,6095.0,2325.0,0.38146021328958163
AR,Lawrence County,16318.0,5692.0,0.3488172570167913
AR,Lee County,8201.0,2520.0,0.3072796000487745
AR,Lincoln County,12898.0,3372.0,0.26143588153202046
AR,Little River County,11805.0,4899.0,0.4149936467598475
AR,Logan County,21400.0,8205.0,0.383411214953271
AR,Lonoke County,75944.0,30620.0,0.4031918255556726
AR,Madison County,17775.0,7501.0,0.4219971870604782
AR,Marion County,17514.0,7851.0,0.44826995546420006
AR,Miller County,42415.0,15803.0,0.3725804550277025
AR,Mississippi County,38663.0,10717.0,0.27719007836950055
AR,Monroe County,6512.0,2433.0,0.37361793611793614
AR,Montgomery County,8620.0,3707.0,0.43004640371229697
AR,Nevada County,8120.0,2907.0,0.35800492610837437
AR,Newton County,7071.0,3770.0,0.5331636260783482
AR,Ouachita County,21793.0,8626.0,0.3958151700087184
AR,Perry County,10184.0,4584.0,0.45011783189316573
AR,Phillips County,14961.0,4938.0,0.33005815119310206
AR,Pike County,10208.0,4358.0,0.42692006269592475
AR,Poinsett County,22397.0,7079.0,0.3160691163995178
AR,Polk County,19436.0,8288.0,0.42642519036838855
AR,Pope County,64593.0,24191.0,0.37451426625176104
AR,Prairie County,8036.0,3200.0,0.3982080637132902
AR,Pulaski County,400009.0,153924.0,0.3848013419698057
AR,Randolph County,18907.0,6636.0,0.3509811181044058
AR,Saline County,129574.0,57609.0,0.4446030839520274
AR,Scott County,9851.0,3384.0,0.3435184245254289
AR,Searcy County,7806.0,3869.0,0.4956443761209326
AR,Sebastian County,129098.0,45452.0,0.35207361849137864
AR,Sevier County,15632.0,4714.0,0.301560900716479
AR,Sharp County,17968.0,7437.0,0.4139024933214604
AR,St. Francis County,22101.0,5979.0,0.27053074521514864
AR,Stone County,12671.0,6030.0,0.47588982716439115
AR,Union County,37397.0,15448.0,0.4130812632029307
AR,Van Buren County,16142.0,7621.0,0.4721224135794821
AR,Washington County,261549.0,97158.0,0.37147150247181215
AR,White County,78452.0,30837.0,0.39306837301789627
AR,Woodruff County,5964.0,2318.0,0.3886653252850436
AR,Yell County,20044.0,6477.0,0.32313909399321494
AZ,Apache County,65036.0,32019.0,0.49232732640383786
AZ,Cochise County,124640.0,58923.0,0.47274550706033375
AZ,Coconino County,144472.0,70067.0,0.4849867102275873
AZ,Gila County,54003.0,27648.0,0.5119715571357146
AZ,Graham County,39525.0,15183.0,0.38413662239089186
AZ,Greenlee County,9369.0,3308.0,0.35307930408794963
AZ,La Paz County,16710.0,7624.0,0.45625374027528426
AZ,Maricopa County,4585871.0,2053945.0,0.44788547257434846
AZ,Mohave County,223682.0,110450.0,0.49378135030981485
AZ,Navajo County,109175.0,50706.0,0.4644469887794825
AZ,Pima County,1063162.0,513176.0,0.4826884331832778
AZ,Pinal County,484239.0,209552.0,0.432744987495844
AZ,Santa Cruz County,49158.0,19121.0,0.38897025916432726
AZ,Yavapai County,249081.0,149402.0,0.5998129122654879
AZ,Yuma County,213221.0,68195.0,0.3198324742872419
CA,Alameda County,1622188.0,669800.0,0.41289912143352064
CA,Alpine County,1141.0,738.0,0.6468010517090271
CA,Amador County,41811.0,22402.0,0.5357920164549999
CA,Butte County,207172.0,94523.0,0.456253740853011
CA,Calaveras County,46565.0,26479.0,0.5686459787393966
CA,Colusa County,22037.0,7021.0,0.3186005354630848
CA,Contra Costa County,1155025.0,528904.0,0.4579156295318283
CA,Del Norte County,26589.0,10564.0,0.3973071570950393
CA,El Dorado County,192215.0,111890.0,0.5821085763337929
CA,Fresno County,1017162.0,325994.0,0.32049368733790684
CA,Glenn County,28129.0,10442.0,0.3712183156173344
CA,Humboldt County,133985.0,64228.0,0.4793670933313431
CA,Imperial County,179057.0,54025.0,0.30171956416113305
CA,Inyo County,18527.0,8951.0,0.48313272521185296
CA,Kern County,913820.0,283246.0,0.30995819745682957
CA,Kings County,152682.0,41501.0,0.27181331132680997
CA,Lake County,67878.0,26759.0,0.3942219865052005
CA,Lassen County,28861.0,11371.0,0.3939918921728284
CA,Los Angeles County,9663345.0,3728427.0,0.38583192465962873
CA,Madera County,162858.0,54624.0,0.335408761006521
CA,Marin County,254407.0,144113.0,0.5664663315081739
CA,Mariposa County,16919.0,9509.0,0.5620308528872865
CA,Mendocino County,89108.0,39216.0,0.44009516541724647
CA,Merced County,291920.0,86392.0,0.2959440942724034
CA,Modoc County,8500.0,4016.0,0.47247058823529414
CA,Mono County,13066.0,6064.0,0.46410531149548445
CA,Monterey County,430723.0,146718.0,0.3406319142465111
CA,Napa County,133216.0,65549.0,0.49205050444391063
CA,Nevada County,102037.0,62132.0,0.6089163734723678
CA,Orange County,3135755.0,1390965.0,0.44358216761194674
CA,Placer County,423561.0,234809.0,0.5543687922164694
CA,Plumas County,19131.0,10067.0,0.5262139982227798
CA,Riverside County,2492442.0,940405.0,0.3773026614059625
CA,Sacramento County,1584288.0,656626.0,0.41446125956896723
CA,San Benito County,68175.0,27649.0,0.40555922258892557
CA,San Bernardino County,2195611.0,761714.0,0.3469257532413529
CA,San Diego County,3269973.0,1477786.0,0.45192605565856353
CA,San Francisco County,808988.0,402964.0,0.49810874821381773
CA,San Joaquin County,800965.0,263671.0,0.3291916625570406
CA,San Luis Obispo County,281639.0,150766.0,0.5353164867081619
CA,San Mateo County,726353.0,330510.0,0.45502668812547065
CA,Santa Barbara County,441257.0,184715.0,0.41861092288620916
CA,Santa Clara County,1877592.0,750433.0,0.3996784178884443
CA,Santa Cruz County,261547.0,134135.0,0.5128523745254199
CA,Shasta County,180366.0,88900.0,0.4928866859607687
CA,Sierra County,3200.0,1754.0,0.548125
CA,Siskiyou County,42905.0,21489.0,0.5008507166996854
CA,Solano County,449218.0,189834.0,0.42258769684206776
CA,Sonoma County,481812.0,251426.0,0.5218342424016006
CA,Stanislaus County,551430.0,197472.0,0.35810891681627766
CA,Sutter County,97948.0,39336.0,0.40160084943030994
CA,Tehama County,64896.0,26532.0,0.4088387573964497
CA,Trinity County,15670.0,5645.0,0.3602425015954052
CA,Tulare County,479468.0,138271.0,0.28838420916515806
CA,Tuolumne County,54204.0,28810.0,0.5315105896243819
CA,Ventura County,829590.0,387595.0,0.4672127195361564
CA,Yolo County,220544.0,92589.0,0.4198209881021474
CA,Yuba County,85722.0,30070.0,0.35078509600802593
CO,Adams County,533365.0,233336.0,0.43747902468290945
CO,Alamosa County,16655.0,7519.0,0.4514560192134494
CO,Arapahoe County,656061.0,325451.0,0.4960682009752142
CO,Archuleta County,14189.0,9355.0,0.6593135527521319
CO,Baca County,3344.0,2004.0,0.5992822966507177
CO,Bent County,5681.0,2189.0,0.38531948600598487
CO,Boulder County,326831.0,196150.0,0.6001572678234317
CO,Broomfield County,76860.0,46817.0,0.6091204787926099
CO,Chaffee County,20617.0,14416.0,0.699228791773779
CO,Cheyenne County,1727.0,1055.0,0.6108859293572669
CO,Clear Creek County,9147.0,6101.0,0.6669946430523669
CO,Conejos County,7521.0,4104.0,0.5456721180694056
CO,Costilla County,3628.0,2080.0,0.5733186328555678
CO,Crowley County,5636.0,1706.0,0.3026969481902058
CO,Custer County,5534.0,3867.0,0.6987712323816407
CO,Delta County,31746.0,19476.0,0.6134946134946135
CO,Denver County,716577.0,363076.0,0.5066810684685665
CO,Dolores County,2513.0,1419.0,0.5646637485077597
CO,Douglas County,383906.0,243758.0,0.6349418868160435
CO,Eagle County,54381.0,27798.0,0.5111711811110499
CO,El Paso County,744215.0,380813.0,0.5116975605167862
CO,Elbert County,28806.0,20417.0,0.7087759494549747
CO,Fremont County,50318.0,25467.0,0.5061210699948329
CO,Garfield County,62707.0,30372.0,0.4843478399540721
CO,Gilpin County,5926.0,4129.0,0.6967600404994938
CO,Grand County,15935.0,9883.0,0.6202070913084405
CO,Gunnison County,17321.0,10939.0,0.6315455227758212
CO,Hinsdale County,765.0,606.0,0.792156862745098
CO,Huerfano County,7055.0,4438.0,0.6290574060949681
CO,Jackson County,1309.0,834.0,0.6371275783040489
CO,Jefferson County,576366.0,361504.0,0.6272125697907233
CO,Kiowa County,1384.0,863.0,0.6235549132947977
CO,Kit Carson County,6994.0,3698.0,0.5287389190734916
CO,La Plata County,56407.0,35681.0,0.6325633343379368
CO,Lake County,7365.0,3911.0,0.5310251188051596
CO,Larimer County,370771.0,225482.0,0.6081435710991421
CO,Las Animas County,14348.0,7792.0,0.5430722051853917
CO,Lincoln County,5480.0,2571.0,0.4691605839416058
CO,Logan County,20619.0,10162.0,0.49284640380231826
CO,Mesa County,159681.0,91600.0,0.5736437021311239
CO,Mineral County,944.0,753.0,0.7976694915254238
CO,Moffat County,13327.0,6671.0,0.5005627673144744
CO,Montezuma County,26531.0,15136.0,0.5705024311183144
CO,Montrose County,44156.0,25617.0,0.5801476583023825
CO,Morgan County,29524.0,13458.0,0.4558325430158515
CO,Otero County,18136.0,8925.0,0.49211513012792235
CO,Ouray County,5176.0,4098.0,0.7917310664605873
CO,Park County,18117.0,12044.0,0.664789976265386
CO,Phillips County,4476.0,2354.0,0.5259159964253798
CO,Pitkin County,16640.0,11167.0,0.67109375
CO,Prowers County,11751.0,5144.0,0.43774997872521487
CO,Pueblo County,169422.0,85107.0,0.5023373587845734
CO,Rio Blanco County,6569.0,3690.0,0.5617293347541483
CO,Rio Grande County,11188.0,6194.0,0.5536288880943868
CO,Routt County,25064.0,16335.0,0.6517315671879987
CO,Saguache County,6688.0,3400.0,0.5083732057416268
CO,San Juan County,802.0,588.0,0.7331670822942643
CO,San Miguel County,7868.0,4804.0,0.610574478901881
CO,Sedgwick County,2299.0,1358.0,0.5906916050456721
CO,Summit County,30465.0,17542.0,0.5758083046118496
CO,Teller County,24617.0,16326.0,0.6632002274850713
CO,Washington County,4855.0,2806.0,0.5779608650875386
CO,Weld County,359442.0,179854.0,0.5003700179723015
CO,Yuma County,9862.0,4663.0,0.47282498479010343
CT,Capitol Planning Region,975328.0,474268.0,0.4862651333705174
CT,Greater Bridgeport Planning Region,327651.0,137015.0,0.41817360545214266
CT,Lower Connecticut River Valley Planning Region,176215.0,104480.0,0.5929120676446387
CT,Naugatuck Valley Planning Region,456128.0,217520.0,0.47688368177353724
CT,Northeastern Connecticut Planning Region,96692.0,50962.0,0.5270549786952385
CT,Northwest Hills Planning Region,113463.0,64076.0,0.5647303526259662
CT,South Central Connecticut Planning Region,568158.0,264854.0,0.46616258153541795
CT,Southeastern Connecticut Planning Region,279634.0,136954.0,0.48976161697075465
CT,Western Connecticut Planning Region,623907.0,308300.0,0.494144159305794
DC,District of Columbia,678972.0,325869.0,0.47994468107668653
DE,Kent County,189789.0,88141.0,0.46441574590729706
DE,New Castle County,578592.0,275917.0,0.47687662463359326
DE,Sussex County,263509.0,147639.0,0.5602806735253825
FL,Alachua County,285994.0,136548.0,0.47745057588620743
FL,Baker County,28368.0,14977.0,0.527954032712916
FL,Bay County,190769.0,97775.0,0.5125308619324943
FL,Bradford County,27858.0,13932.0,0.5001076889941848
FL,Brevard County,643979.0,361449.0,0.5612745136099159
FL,Broward County,1962531.0,874526.0,0.44561130499339885
FL,Calhoun County,13470.0,6428.0,0.47720861172976986
FL,Charlotte County,206134.0,123674.0,0.599968952234954
FL,Citrus County,166696.0,98233.0,0.5892942842059797
FL,Clay County,232439.0,126806.0,0.5455452828484032
FL,Collier County,404310.0,216363.0,0.5351413519329228
FL,Columbia County,73063.0,33592.0,0.45976759782653326
FL,DeSoto County,35979.0,12488.0,0.347091358848217
FL,Dixie County,17465.0,8148.0,0.46653306613226453
FL,Duval County,1030822.0,471268.0,0.45717689377991544
FL,Escambia County,326928.0,162754.0,0.49782826799784663
FL,Flagler County,131439.0,79963.0,0.6083658579264906
FL,Franklin County,12594.0,6758.0,0.5366047324122598
FL,Gadsden County,43833.0,21868.0,0.49889352770743506
FL,Gilchrist County,19587.0,10686.0,0.5455659365905958
FL,Glades County,12786.0,5279.0,0.41287345534178005
FL,Gulf County,15693.0,8697.0,0.5541961384056586
FL,Hamilton County,13471.0,5733.0,0.4255808774404276
FL,Hardee County,25760.0,8143.0,0.316110248447205
FL,Hendry County,43333.0,13460.0,0.31061777398287677
FL,Hernando County,212807.0,110687.0,0.5201285671993873
FL,Highlands County,107614.0,51905.0,0.4823257197018975
FL,Hillsborough County,1535564.0,671981.0,0.4376118481548148
FL,Holmes County,19944.0,9116.0,0.4570798235058163
FL,Indian River County,169795.0,99015.0,0.5831443799876321
FL,Jackson County,48622.0,22098.0,0.4544856237916992
FL,Jefferson County,15450.0,8502.0,0.5502912621359223
FL,Lafayette County,8078.0,3756.0,0.4649665758851201
FL,Lake County,424462.0,226781.0,0.5342786869024789
FL,Lee County,834573.0,392519.0,0.4703231472860972
FL,Leon County,296913.0,156800.0,0.5281008241471408
FL,Levy County,46545.0,24377.0,0.5237297239230851
FL,Liberty County,7706.0,3490.0,0.452893848948871
FL,Madison County,18519.0,9156.0,0.49441114531022196
