state_name,state_code,county_name,college_educated
Arkansas,AR,Saline County,25453
Arkansas,AR,Scott County,827
Arkansas,AR,Searcy County,824
Arkansas,AR,Sebastian County,22002
Arkansas,AR,Sevier County,1185
Arkansas,AR,Sharp County,1562
Arkansas,AR,Stone County,1455
Arkansas,AR,Union County,5255
Arkansas,AR,Van Buren County,2000
Arkansas,AR,Washington County,57720
Arkansas,AR,White County,10656
Arkansas,AR,Woodruff County,693
Arkansas,AR,Yell County,2156
California,CA,Alameda County,635127
California,CA,Alpine County,526
California,CA,Amador County,7349
California,CA,Butte County,46882
California,CA,Calaveras County,8028
California,CA,Colusa County,2140
California,CA,Contra Costa County,377594
California,CA,Del Norte County,4173
California,CA,El Dorado County,56426
California,CA,Fresno County,158373
California,CA,Glenn County,3159
California,CA,Humboldt County,31594
California,CA,Imperial County,18518
California,CA,Inyo County,4569
California,CA,Kern County,109259
California,CA,Kings County,14055
California,CA,Lake County,8958
California,CA,Lassen County,3136
California,CA,Los Angeles County,2574272
California,CA,Madera County,18093
California,CA,Marin County,117830
California,CA,Mariposa County,4206
California,CA,Mendocino County,16604
California,CA,Merced County,27726
California,CA,Modoc County,1504
California,CA,Mono County,3334
California,CA,Monterey County,81191
California,CA,Napa County,38519
California,CA,Nevada County,31459
California,CA,Orange County,998475
California,CA,Placer County,129289
California,CA,Plumas County,3188
California,CA,Riverside County,424990
California,CA,Sacramento County,376317
California,CA,San Benito County,10153
California,CA,San Bernardino County,340080
California,CA,San Diego County,995476
California,CA,San Francisco County,423021
California,CA,San Joaquin County,115165
California,CA,San Luis Obispo County,78513
California,CA,San Mateo County,300925
California,CA,Santa Barbara County,106914
California,CA,Santa Clara County,783183
California,CA,Santa Cruz County,82058
California,CA,Shasta County,30698
California,CA,Sierra County,533
California,CA,Siskiyou County,7495
California,CA,Solano County,91560
California,CA,Sonoma County,137995
California,CA,Stanislaus County,70743
California,CA,Sutter County,13560
California,CA,Tehama County,8619
California,CA,Trinity County,2237
California,CA,Tulare County,47395
California,CA,Tuolumne County,10181
California,CA,Ventura County,214465
California,CA,Yolo County,63816
California,CA,Yuba County,9888
Colorado,CO,Adams County,101046
Colorado,CO,Alamosa County,3072
Colorado,CO,Arapahoe County,215502
Colorado,CO,Archuleta County,4458
Colorado,CO,Baca County,607
Colorado,CO,Bent County,620
Colorado,CO,Boulder County,148090
Colorado,CO,Broomfield County,32716
Colorado,CO,Chaffee County,7362
Colorado,CO,Cheyenne County,303
Colorado,CO,Clear Creek County,4259
Colorado,CO,Conejos County,1213
Colorado,CO,Costilla County,748
