state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,state_code
Alabama,1125,Tuscaloosa County,50724.0,33399.0,84879.0,17325.0,59.76,39.35,20.41,AL
Alabama,1127,Walker County,25464.0,4102.0,29747.0,21362.0,85.6,13.79,71.81,AL
Alabama,1129,Washington County,6534.0,1863.0,8430.0,4671.0,77.51,22.1,55.41,AL
Alabama,1131,Wilcox County,1793.0,3449.0,5260.0,-1656.0,34.09,65.57,-31.48,AL
Alabama,1133,Winston County,10191.0,884.0,11129.0,9307.0,91.57,7.94,83.63,AL
Arizona,4001,Apache County,12795.0,18872.0,32019.0,-6077.0,39.96,58.94,-18.98,AZ
Arizona,4003,Cochise County,35936.0,22296.0,58923.0,13640.0,60.99,37.84,23.15,AZ
Arizona,4005,Coconino County,27576.0,41504.0,70067.0,-13928.0,39.36,59.23,-19.88,AZ
Arizona,4007,Gila County,18901.0,8504.0,27648.0,10397.0,68.36,30.76,37.6,AZ
Arizona,4009,Graham County,11177.0,3867.0,15183.0,7310.0,73.62,25.47,48.15,AZ
Arizona,4011,Greenlee County,2308.0,954.0,3308.0,1354.0,69.77,28.84,40.93,AZ
Arizona,4012,La Paz County,5470.0,2101.0,7624.0,3369.0,71.75,27.56,44.19,AZ
Arizona,4013,Maricopa County,1051531.0,980016.0,2053945.0,71515.0,51.2,47.71,3.48,AZ
Arizona,4015,Mohave County,85683.0,24081.0,110450.0,61602.0,77.58,21.8,55.77,AZ
Arizona,4017,Navajo County,29480.0,20754.0,50706.0,8726.0,58.14,40.93,17.21,AZ
Arizona,4019,Pima County,214669.0,292450.0,513176.0,-77781.0,41.83,56.99,-15.16,AZ
Arizona,4021,Pinal County,126926.0,80656.0,209552.0,46270.0,60.57,38.49,22.08,AZ
Arizona,4023,Santa Cruz County,7699.0,11265.0,19121.0,-3566.0,40.26,58.91,-18.65,AZ
Arizona,4025,Yavapai County,99346.0,48717.0,149402.0,50629.0,66.5,32.61,33.89,AZ
Arizona,4027,Yuma County,40745.0,26823.0,68195.0,13922.0,59.75,39.33,20.41,AZ
Arkansas,5001,Arkansas County,3951.0,1503.0,5547.0,2448.0,71.23,27.1,44.13,AR
Arkansas,5003,Ashley County,5145.0,1774.0,7030.0,3371.0,73.19,25.23,47.95,AR
Arkansas,5005,Baxter County,16253.0,4341.0,20954.0,11912.0,77.57,20.72,56.85,AR
Arkansas,5007,Benton County,79907.0,45231.0,128595.0,34676.0,62.14,35.17,26.97,AR
Arkansas,5009,Boone County,13968.0,2854.0,17112.0,11114.0,81.63,16.68,64.95,AR
Arkansas,5011,Bradley County,2213.0,961.0,3209.0,1252.0,68.96,29.95,39.02,AR
Arkansas,5013,Calhoun County,1674.0,379.0,2092.0,1295.0,80.02,18.12,61.9,AR
